S_No,Brand,Category,Model_Name,SKU,Rate,Image_URL,Image_Status,Match_Notes
"22","Haier","Washing Machine","HWM 90-826",""," 53,000 ","https://www.haier.com/pk/media/catalog/product/h/w/hwm-90-826.png","UNVERIFIED","Matched core HWM 90 series, suffix 826 needs manual review"
"23","Haier","Washing Machine","HWM 95-1678 ES8/JT",""," 64,500 ","https://www.haier.com/pk/media/catalog/product/h/w/hwm-95-1678.png","UNVERIFIED","Matched core HWM 95-1678 series, suffix ES8/JT needs manual review"
"24","Haier","Washing Machine","HWM-120 AS MG",""," 41,500 ","https://www.haier.com/pk/media/catalog/product/h/w/hwm-120as-grey.png","UNVERIFIED","Matched core HWM 120AS series, color MG vs GREY needs manual review"
"25","Haier","Washing Machine","HWM-120-826 E",""," 60,500 ","https://www.haier.com/pk/media/catalog/product/h/w/hwm-120-826e.png","UNVERIFIED","Matched core HWM 120-826 series, suffix E needs manual review"
"26","Haier","Washing Machine","HWM-49102 GD",""," 27,500 ","https://www.haier.com/pk/media/catalog/product/h/w/hwm-49102.png","UNVERIFIED","Matched core HWM 49102 series, color GD needs manual review"
"27","Haier","Washing Machine","HWM-49102 P",""," 26,000 ","https://www.haier.com/pk/media/catalog/product/h/w/hwm-49102.png","UNVERIFIED","Matched core HWM 49102 series, color P needs manual review"
"28","Haier","Washing Machine","HWM-49112 GD",""," 31,000 ","https://www.haier.com/pk/media/catalog/product/h/w/hwm-49112.png","UNVERIFIED","Matched core HWM 49112 series, color GD needs manual review"
"29","Haier","Washing Machine","HWM-49112 P",""," 30,000 ","https://www.haier.com/pk/media/catalog/product/h/w/hwm-49112.png","UNVERIFIED","Matched core HWM 49112 series, color P needs manual review"
"30","Haier","Washing Machine","HWM-75 AS",""," 23,500 ","https://www.haier.com/pk/media/catalog/product/h/w/hwm-75as.png","UNVERIFIED","Matched core HWM 75 series, suffix AS needs manual review"
"31","Haier","Microwave","HGL-25MXP8",""," 23,000 ","https://www.haier.com/pk/media/catalog/product/h/g/hgl-25.png","UNVERIFIED","Matched core HGL-25 series, suffix MXP8 needs manual review"
"32","Haier","Microwave","HMO-62 MX80",""," 46,000 ","https://www.haier.com/pk/media/catalog/product/h/m/hmo-62.png","UNVERIFIED","Matched core HMO-62 series, suffix MX80 needs manual review"
"33","WestPoint","Kitchen Appliance","WestPoint 1153","","","https://www.westpoint.pk/media/catalog/product/w/f/wf-1153.png","UNVERIFIED","Matched core WF-1153 series, needs manual review"
"34","WestPoint","Kitchen Appliance","WestPoint 1154","","","https://www.westpoint.pk/media/catalog/product/w/f/wf-1154.png","UNVERIFIED","Matched core WF-1154 series, needs manual review"
"35","WestPoint","Kitchen Appliance","WestPoint 1155","","","https://www.westpoint.pk/media/catalog/product/w/f/wf-1155.png","UNVERIFIED","Matched core WF-1155 series, needs manual review"
"36","WestPoint","Kitchen Appliance","WestPoint 1156","","","https://www.westpoint.pk/media/catalog/product/w/f/wf-1156.png","UNVERIFIED","Matched core WF-1156 series, needs manual review"
"37","WestPoint","Kitchen Appliance","WestPoint 1851","","","https://www.westpoint.pk/media/catalog/product/w/f/wf-1851.png","UNVERIFIED","Matched core WF-1851 series, needs manual review"
"38","WestPoint","Kitchen Appliance","WestPoint 2020","","","https://www.westpoint.pk/media/catalog/product/w/f/wf-2020.png","UNVERIFIED","Matched core WF-2020 series, needs manual review"
"39","WestPoint","Kitchen Appliance","WestPoint 2023","","","https://www.westpoint.pk/media/catalog/product/w/f/wf-2023.png","UNVERIFIED","Matched core WF-2023 series, needs manual review"
"40","WestPoint","Kitchen Appliance","WestPoint 2024","","","https://www.westpoint.pk/media/catalog/product/w/f/wf-2024.png","UNVERIFIED","Matched core WF-2024 series, needs manual review"
"41","WestPoint","Kitchen Appliance","WestPoint 2063","","","https://www.westpoint.pk/media/catalog/product/w/f/wf-2063.png","UNVERIFIED","Matched core WF-2063 series, needs manual review"
"42","WestPoint","Kitchen Appliance","WestPoint 2064","","","https://www.westpoint.pk/media/catalog/product/w/f/wf-2064.png","UNVERIFIED","Matched core WF-2064 series, needs manual review"
"43","WestPoint","Kitchen Appliance","WestPoint 2065","","","https://www.westpoint.pk/media/catalog/product/w/f/wf-2065.png","UNVERIFIED","Matched core WF-2065 series, needs manual review"
"44","WestPoint","Kitchen Appliance","WestPoint 3117","","","https://www.westpoint.pk/media/catalog/product/w/f/wf-3117.png","UNVERIFIED","Matched core WF-3117 series, needs manual review"
"45","WestPoint","Kitchen Appliance","WestPoint 3119","","","https://www.westpoint.pk/media/catalog/product/w/f/wf-3119.png","UNVERIFIED","Matched core WF-3119 series, needs manual review"
"46","WestPoint","Kitchen Appliance","WestPoint 6172","","","https://www.westpoint.pk/media/catalog/product/w/f/wf-6172.png","UNVERIFIED","Matched core WF-6172 series, needs manual review"
"47","WestPoint","Kitchen Appliance","WestPoint 6174","","","https://www.westpoint.pk/media/catalog/product/w/f/wf-6174.png","UNVERIFIED","Matched core WF-6174 series, needs manual review"
"48","WestPoint","Kitchen Appliance","WestPoint 6175","","","https://www.westpoint.pk/media/catalog/product/w/f/wf-6175.png","UNVERIFIED","Matched core WF-6175 series, needs manual review"
"49","WestPoint","Kitchen Appliance","WestPoint 6178","","","https://www.westpoint.pk/media/catalog/product/w/f/wf-6178.png","UNVERIFIED","Matched core WF-6178 series, needs manual review"
"50","WestPoint","Kitchen Appliance","WestPoint 6807","","","https://www.westpoint.pk/media/catalog/product/w/f/wf-6807.png","UNVERIFIED","Matched core WF-6807 series, needs manual review"
"51","WestPoint","Kitchen Appliance","WestPoint 6809","","","https://www.westpoint.pk/media/catalog/product/w/f/wf-6809.png","UNVERIFIED","Matched core WF-6809 series, needs manual review"
"52","Kenwood","AC","KEA-2441 FLOOR",""," 225,000 ","https://www.kenwoodpakistan.pk/media/catalog/product/k/e/kea-2441.png","UNVERIFIED","Matched core KEA-2441 series, suffix FLOOR needs manual review"
"53","Kenwood","AC","KEA-4841 FLOOR",""," 380,000 ","https://www.kenwoodpakistan.pk/media/catalog/product/k/e/kea-4841.png","UNVERIFIED","Matched core KEA-4841 series, suffix FLOOR needs manual review"
"54","Kenwood","AC","KEA-4846 E-BREEZE",""," 515,000 ","https://www.kenwoodpakistan.pk/media/catalog/product/k/e/kea-4846.png","UNVERIFIED","Matched core KEA-4846 series, suffix E-BREEZE needs manual review"
"55","Kenwood","AC","KEI-2444 FLOOR (ROUND)",""," 330,000 ","https://www.kenwoodpakistan.pk/media/catalog/product/k/e/kei-2444.png","UNVERIFIED","Matched core KEI-2444 series, suffix FLOOR (ROUND) needs manual review"
"56","Kenwood","AC","KEI-2446 FLOOR",""," 260,000 ","https://www.kenwoodpakistan.pk/media/catalog/product/k/e/kei-2446.png","UNVERIFIED","Matched core KEI-2446 series, suffix FLOOR needs manual review"
"57","Kenwood","AC","KEI-2447 FLOOR (ROUND)",""," 330,000 ","https://www.kenwoodpakistan.pk/media/catalog/product/k/e/kei-2447.png","UNVERIFIED","Matched core KEI-2447 series, suffix FLOOR (ROUND) needs manual review"
"58","Kenwood","Washing Machine","KWM-899 WASHER",""," 18,500 ","https://www.kenwoodpakistan.pk/media/catalog/product/k/w/kwm-899.png","UNVERIFIED","Matched core KWM-899 series, suffix WASHER needs manual review"
"59","Kenwood","Washing Machine","KWS- 1050 SPINNER",""," 18,500 ","https://www.kenwoodpakistan.pk/media/catalog/product/k/w/kws-1050.png","UNVERIFIED","Matched core KWS-1050 series, suffix SPINNER needs manual review"
"60","Kenwood","AC","KEA-2441 FLOOR",""," 225,000 ","https://www.kenwoodpakistan.pk/media/catalog/product/k/e/kea-2441.png","UNVERIFIED","Matched core KEA-2441 series, suffix FLOOR needs manual review"
"61","Kenwood","AC","KEA-4841 FLOOR",""," 380,000 ","https://www.kenwoodpakistan.pk/media/catalog/product/k/e/kea-4841.png","UNVERIFIED","Matched core KEA-4841 series, suffix FLOOR needs manual review"
"62","Kenwood","AC","KEA-4846 E-BREEZE",""," 515,000 ","https://www.kenwoodpakistan.pk/media/catalog/product/k/e/kea-4846.png","UNVERIFIED","Matched core KEA-4846 series, suffix E-BREEZE needs manual review"
"63","Kenwood","AC","KEI-2444 FLOOR (ROUND)",""," 330,000 ","https://www.kenwoodpakistan.pk/media/catalog/product/k/e/kei-2444.png","UNVERIFIED","Matched core KEI-2444 series, suffix FLOOR (ROUND) needs manual review"
"64","Kenwood","AC","KEI-2446 FLOOR",""," 260,000 ","https://www.kenwoodpakistan.pk/media/catalog/product/k/e/kei-2446.png","UNVERIFIED","Matched core KEI-2446 series, suffix FLOOR needs manual review"
"65","Kenwood","AC","KEI-2447 FLOOR (ROUND)",""," 330,000 ","https://www.kenwoodpakistan.pk/media/catalog/product/k/e/kei-2447.png","UNVERIFIED","Matched core KEI-2447 series, suffix FLOOR (ROUND) needs manual review"
"66","Kenwood","AC","KEN 1276 E-Nova",""," 95,000 ","https://www.kenwoodpakistan.pk/media/catalog/product/k/e/ken-1276.png","UNVERIFIED","Matched core KEN-1276 series, suffix E-Nova needs manual review"
"67","Kenwood","AC","KEN 1876 E-Nova",""," 118,000 ","https://www.kenwoodpakistan.pk/media/catalog/product/k/e/ken-1876.png","UNVERIFIED","Matched core KEN-1876 series, suffix E-Nova needs manual review"
"68","Kenwood","AC","KEN 2476 E-Nova",""," 169,000 ","https://www.kenwoodpakistan.pk/media/catalog/product/k/e/ken-2476.png","UNVERIFIED","Matched core KEN-2476 series, suffix E-Nova needs manual review"
"69","PEL","Microwave","PMO-23 SLM",""," 23,300 ","https://pel.com.pk/media/catalog/product/p/m/pmo-23.png","UNVERIFIED","Matched core PMO-23 series, suffix SLM needs manual review"
"70","PEL","Microwave","PMO-26 DESIRE",""," 29,300 ","https://pel.com.pk/media/catalog/product/p/m/pmo-26.png","UNVERIFIED","Matched core PMO-26 series, suffix DESIRE needs manual review"
"71","Super Asia","Washing Machine","SA 240 Shower wash",""," -   ","https://superasiastore.com/media/catalog/product/s/a/sa-240.png","UNVERIFIED","Matched core SA-240 series, suffix Shower Wash needs manual review"
"72","Super Asia","Washing Machine","SD-525",""," -   ","https://superasiastore.com/media/catalog/product/s/d/sd-525.png","UNVERIFIED","Matched core SD-525 series, needs manual review"
"73","Super Asia","Washing Machine","SA 240 Shower wash",""," -   ","https://superasiastore.com/media/catalog/product/s/a/sa-240.png","UNVERIFIED","Matched core SA-240 series, suffix Shower Wash needs manual review"
