S_No,Brand,Category,Model_Name,SKU,Rate,Match_Notes
"39","WestPoint","Kitchen Appliance","WestPoint 367","","","Model truly not found on official site - possibly discontinued"
"40","WestPoint","Kitchen Appliance","WestPoint 3804","","","Model truly not found on official site - possibly discontinued"
"41","WestPoint","Kitchen Appliance","WestPoint 408","","","Model truly not found on official site - possibly discontinued"
"42","WestPoint","Kitchen Appliance","WestPoint 410","","","Model truly not found on official site - possibly discontinued"
"43","WestPoint","Kitchen Appliance","WestPoint 411","","","Model truly not found on official site - possibly discontinued"
"44","WestPoint","Kitchen Appliance","WestPoint 4201","","","Model truly not found on official site - possibly discontinued"
"45","WestPoint","Kitchen Appliance","WestPoint 4805","","","Model truly not found on official site - possibly discontinued"
"46","WestPoint","Kitchen Appliance","WestPoint 4806","","","Model truly not found on official site - possibly discontinued"
"47","WestPoint","Kitchen Appliance","WestPoint 5160","","","Model truly not found on official site - possibly discontinued"
"48","WestPoint","Kitchen Appliance","WestPoint 5161","","","Model truly not found on official site - possibly discontinued"
"49","WestPoint","Kitchen Appliance","WestPoint 578","","","Model truly not found on official site - possibly discontinued"
"50","WestPoint","Kitchen Appliance","WestPoint 5805","","","Model truly not found on official site - possibly discontinued"
"51","WestPoint","Kitchen Appliance","WestPoint 5806","","","Model truly not found on official site - possibly discontinued"
"52","WestPoint","Kitchen Appliance","WestPoint 6217","","","Model truly not found on official site - possibly discontinued"
"53","WestPoint","Kitchen Appliance","WestPoint 6259","","","Model truly not found on official site - possibly discontinued"
"54","WestPoint","Kitchen Appliance","WestPoint 6260","","","Model truly not found on official site - possibly discontinued"
"55","WestPoint","Kitchen Appliance","WestPoint 6275","","","Model truly not found on official site - possibly discontinued"
"56","WestPoint","Kitchen Appliance","WestPoint 672","","","Model truly not found on official site - possibly discontinued"
"57","WestPoint","Kitchen Appliance","WestPoint 6810","","","Model truly not found on official site - possibly discontinued"
"58","WestPoint","Kitchen Appliance","WestPoint 6811","","","Model truly not found on official site - possibly discontinued"
"59","WestPoint","Kitchen Appliance","WestPoint 718","","","Model truly not found on official site - possibly discontinued"
"60","Kenwood","AC","KEA-1861",""," -   ","Model truly not found on official site - possibly discontinued"
"61","Kenwood","AC","KEA-2462",""," 187,000 ","Model truly not found on official site - possibly discontinued"
"62","Kenwood","AC","KEI-2443 FLOOR",""," -   ","Model truly not found on official site - possibly discontinued"
"63","Kenwood","AC","KEL-1867",""," 158,000 ","Model truly not found on official site - possibly discontinued"
"64","Kenwood","AC","KEL-2470",""," 222,000 ","Model truly not found on official site - possibly discontinued"
"65","Kenwood","AC","KES 1271",""," -   ","Model truly not found on official site - possibly discontinued"
"66","Kenwood","AC","KES 1871",""," 161,000 ","Model truly not found on official site - possibly discontinued"
"67","Kenwood","AC","KEI-2443 FLOOR",""," -   ","Model truly not found on official site - possibly discontinued"
"68","Kenwood","AC","KEN 1274",""," 111,000 ","Duplicate image URL skipped"
"69","Kenwood","AC","KEN 1275",""," 111,000 ","Duplicate image URL skipped"
"70","Kenwood","AC","KEN 1873",""," 129,000 ","Duplicate image URL skipped"
"71","Kenwood","AC","KEN 1874",""," 129,000 ","Duplicate image URL skipped"
"72","Kenwood","AC","KEN 2473",""," 196,000 ","Duplicate image URL skipped"
"73","Kenwood","AC","KEN 2474",""," 196,000 ","Duplicate image URL skipped"
"74","Kenwood","AC","KEO 2475",""," 196,000 ","Duplicate image URL skipped"
"75","Kenwood","AC","KES 1270",""," 127,000 ","Duplicate image URL skipped"
"76","Kenwood","AC","KES 1271",""," -   ","Model truly not found on official site - possibly discontinued"
"77","Kenwood","AC","KES 1870",""," 161,000 ","Duplicate image URL skipped"
"78","Kenwood","AC","KES 1871",""," 161,000 ","Model truly not found on official site - possibly discontinued"
"79","Kenwood","Washing Machine","KWM-211059",""," 28,500 ","Duplicate image URL skipped"
"80","PEL","Washing Machine","PAWM 900i",""," 62,000 ","Duplicate image URL skipped"
"81","PEL","Washing Machine","SA 233",""," 21,500 ","Model truly not found on official site - possibly discontinued"
"82","PEL","Washing Machine","SA 570",""," 19,900 ","Model truly not found on official site - possibly discontinued"
"83","PEL","Washing Machine","SA 572",""," 19,900 ","Model truly not found on official site - possibly discontinued"
"84","PEL","Washing Machine","PAWM 1100",""," 71,000 ","Duplicate image URL skipped"
"85","PEL","Washing Machine","PAWM 900",""," 57,000 ","Duplicate image URL skipped"
"86","PEL","Washing Machine","SA 233",""," 21,500 ","Model truly not found on official site - possibly discontinued"
"87","PEL","Washing Machine","SA 570",""," 19,900 ","Model truly not found on official site - possibly discontinued"
"88","PEL","Washing Machine","SA 572",""," 19,900 ","Model truly not found on official site - possibly discontinued"
"89","PEL","Water Dispenser","PEL 525 Curved Glassdoor Dispenser/On Installments","PEL 525 Curved Glassdoor WD-BE-On Installments"," 43,500 ","Model truly not found on official site - possibly discontinued"
"90","Orient","Microwave","Kabab 20D Solo Black","Orient Kabab 20D Solo Black-BE-On Installments"," 24,000 ","Duplicate image URL skipped"
"91","Orient","Microwave","Macaroni 20M Solo Black","Orient Macaroni 20M Solo Black-BE-On Installments"," 19,500 ","Duplicate image URL skipped"
"92","Orient","Microwave","Muffin 30D","Orient Muffin 30D Grill Black-BE-On Instalmments"," 42,000 ","Duplicate image URL skipped"
"93","Orient","Microwave","Panini 20M Solo Black","Orient Panini 20M Solo Black-BE-On Installments"," 19,500 ","Duplicate image URL skipped"
"94","Orient","Microwave","Pasta 23D Solo Black","Orient Pasta 23D Solo Black-BE-On Installments"," 31,000 ","Duplicate image URL skipped"
"95","Orient","Microwave","Pizza 34D","Orient Pizza 34D Grill Black-BE-On Insrallments"," 43,000 ","Duplicate image URL skipped"
"96","Orient","Microwave","Popcorn 20M Solo Black","Orient Popcorn 20M Solo Black-BE-On Installments"," 22,500 ","Duplicate image URL skipped"
"97","Orient","Microwave","Roast 23D Solo Black","Orient Roast 23D Grill Black-BE-On Installments"," 31,000 ","Duplicate image URL skipped"
"98","Super Asia","Washing Machine","SA 233",""," 21,500 ","Model truly not found on official site - possibly discontinued"
"99","Super Asia","Washing Machine","SA 570",""," 19,900 ","Model truly not found on official site - possibly discontinued"
"100","Super Asia","Washing Machine","SA 572",""," 19,900 ","Model truly not found on official site - possibly discontinued"
"101","Super Asia","Washing Machine","SA 242",""," -   ","Model truly not found on official site - possibly discontinued"
"102","Super Asia","Washing Machine","SA 245",""," -   ","Model truly not found on official site - possibly discontinued"
"103","Super Asia","Washing Machine","SA 270",""," -   ","Model truly not found on official site - possibly discontinued"
"104","Super Asia","Washing Machine","SA 280",""," -   ","Model truly not found on official site - possibly discontinued"
"105","Super Asia","Washing Machine","SA 290",""," -   ","Model truly not found on official site - possibly discontinued"
"106","Super Asia","Washing Machine","SA 550",""," -   ","Model truly not found on official site - possibly discontinued"
"107","Super Asia","Washing Machine","SA 555",""," -   ","Model truly not found on official site - possibly discontinued"
"108","Super Asia","Washing Machine","SA 233",""," 21,500 ","Model truly not found on official site - possibly discontinued"
"109","Super Asia","Washing Machine","SA 570",""," 19,900 ","Model truly not found on official site - possibly discontinued"
"110","Super Asia","Washing Machine","SA 572",""," 19,900 ","Model truly not found on official site - possibly discontinued"
"111","Super Asia","Washing Machine","SA 242",""," -   ","Model truly not found on official site - possibly discontinued"
"112","Super Asia","Washing Machine","SA 270",""," -   ","Model truly not found on official site - possibly discontinued"
"113","Super Asia","Washing Machine","SA 280",""," -   ","Model truly not found on official site - possibly discontinued"
"114","Super Asia","Washing Machine","SA 290",""," -   ","Model truly not found on official site - possibly discontinued"
"115","Super Asia","Washing Machine","SA 550",""," -   ","Model truly not found on official site - possibly discontinued"
"116","Super Asia","Washing Machine","SA 555",""," -   ","Model truly not found on official site - possibly discontinued"
