Product_Model,Brand,Category,Reason
"Haier Hrf-246 Ipra/ipga/ippa","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-276 Ipra/ipga/ippa","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-538 Ipra/ipga/ippa","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-538 Idga/idrga","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-368 Iapa+/iara","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-398 Iapa+/iara","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-538 Iapa+/iara","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-368 Ifga/ifra","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-398 Ifga/ifra","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-538 Ifga/ifra/ifpa","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-538 Tifg1u1/tifb1u1 (iot)","Haier","Refrigerators","Only duplicate/shared image available"
"Dawlance DW-7200 WFL","Dawlance","Washing Machines","Only duplicate/shared image available"
"Haier PEL PMO-23 SLM 23 Ltr Desire Microwave Oven/On Installments","Haier","Washing Machines","Only duplicate/shared image available"
"Haier PEL PMO-26 Desire Microwave Oven/On Installments","Haier","Washing Machines","Only duplicate/shared image available"
"Haier Pel PMO-30 Desire Microwave Oven 30 Litres/On Installments","Haier","Washing Machines","Only duplicate/shared image available"
"Haier HWM 120-1678 ES9","Haier","Washing Machines","Only duplicate/shared image available"
"Haier HWM-130-1217 GB","Haier","Washing Machines","Only duplicate/shared image available"
"WestPoint 1186","WestPoint","Kitchen Appliances","Not found on any site with unique image"
"WestPoint 1203","WestPoint","Kitchen Appliances","Not found on any site with unique image"
"WestPoint 1253","WestPoint","Kitchen Appliances","Not found on any site with unique image"
"WestPoint 1353","WestPoint","Kitchen Appliances","Not found on any site with unique image"
"WestPoint 1833","WestPoint","Kitchen Appliances","Not found on any site with unique image"
"WestPoint 1844","WestPoint","Kitchen Appliances","Not found on any site with unique image"
"WestPoint 1853","WestPoint","Kitchen Appliances","Not found on any site with unique image"
"WestPoint 1860","WestPoint","Kitchen Appliances","Not found on any site with unique image"
"WestPoint 2025","WestPoint","Kitchen Appliances","Not found on any site with unique image"
"WestPoint 2063","WestPoint","Kitchen Appliances","Not found on any site with unique image"
"TCL C655 43 Inch Classic 4K QLED TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","Not found on any site with unique image"
"TCL LED 50 C655 QLED Pro TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL C655 55 Inch Classic 4K QLED TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 65 C655 QLED Pro TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 75 C655 QLED Pro TV-ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 75 C655 QLED Pro TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL C655 85 Inch Classic 4K QLED TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 32 Inch Led - L5A Smart Android 2024 ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL L5A 40 Inch Smart Android LED TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL L5A 43 Inch Smart Android LED TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 43 inch 43S5200 Smart Android LED TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 32 Inch S5400 FHD Smart Bezel Less Android TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL S5400 40 Inch FHD Smart Bezel Less Android TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 43 Inch S5400 FHD Smart Bezel Less Android TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 43V6B 43 inch 4K HDR Google TV New Series With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 50 V6B UHD Google TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 55 V6B UHD Google TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 65 V6B UHD Google TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 43 P71B UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 50 P71B UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 55 P71B UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 65 P71B UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 75 P71B UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 55 C645 QLED Smart TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 43 P755 UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 50 P755 UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 55 P755 UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 65 P755 UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 75 P755 UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 55 C755 Mini LED 4K TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 65 C755 Mini LED 4K TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 75 C755 Mini LED 4K TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 75 C835 TCL Mini LED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 65 C855 Premium QD-MiniLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 75 C855 Premium QD-MiniLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 55 P6K UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 65 P6K UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 50 C6KS QD-MiniLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 55 C6KS QD-MiniLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 65 C6KS QD-MiniLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 75 C6KS QD-MiniLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 43 T6C QLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 50 T6C QLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 55 T6C QLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 65 T6C QLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 75 T6C QLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 85 T6C QLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 43 P79K QLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 50 P79K QLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 55 P79K QLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 65 P79K QLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 75 P79K QLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 85 P79K QLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 55 P8K QLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 65 P8K QLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 75 P8K QLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 85 P8K QLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"TCL 98 P8K QLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","No HD unique image found"
"HAIER LEDs","Haier","LED TVs","No HD unique image found"
"Haier 40 Android LED H40K66FG/On Installments ONLY KARACHI","Haier","LED TVs","No HD unique image found"
"Haier 43 Inch H43K66UGP Smart Android LED TV With Official Warranty ONLY FOR KARACHI-By Electronics World","Haier","LED TVs","No HD unique image found"
"43 K800U 4K/801 UX","TCL","LED TVs","No HD unique image found"
"Haier 32 H32K800X- Google LED ONLY FOR KARACHI-By Electronics World","Haier","LED TVs","No HD unique image found"
"Haier 43 H43K800FX- Google LED ONLY FOR KARACHI-By Electronics World","Haier","LED TVs","No HD unique image found"
"Haier 43 Inch H43S800UX QLED Google TV With Official Warranty ONLY FOR KARACHI-By Electronics World","Haier","LED TVs","No HD unique image found"
"Haier 50 Inch H50S800UX QLED Google TV With Official Warranty ONLY FOR KARACHI-By Electronics World","Haier","LED TVs","No HD unique image found"
"Haier 55 Inch H55S800EUX QLED Google TV With Official Warranty ONLY FOR KARACHI-By Electronics World","Haier","LED TVs","No HD unique image found"
"Haier 75 Inch H75S800UX QLED Google TV With Official Warranty ONLY FOR KARACHI-By Electronics World","Haier","LED TVs","No HD unique image found"
"98 S90","TCL","LED TVs","No HD unique image found"
"Haier 32 QLED H32S80EFX - Google TV With Official Warranty ONLY FOR KARACHI-By Electronics World","Haier","LED TVs","No HD unique image found"
"Haier 50 QLED H50S80EUX - Google TV With Official Warranty ONLY FOR KARACHI-By Electronics World","Haier","LED TVs","No HD unique image found"
"Haier 55 QLED H55S80EUX - Google TV ONLY FOR KARACHI-By Electronics World","Haier","LED TVs","No HD unique image found"
"Haier 65 QLED H65S80EU-S80E 4K Smart TV ONLY FOR KARACHI-By Electronics World","Haier","LED TVs","No HD unique image found"
"Haier 75 QLED H75S80EUX-Google TV ONLY FOR KARACHI-By Electronics World","Haier","LED TVs","No HD unique image found"
"PEL 215 Pearl Water Dispenser (Without Refrigerator Compartment)/On Installments","PEL","Water Dispensers","No HD unique image found"
"PEL Water Dispenser PWD-315 Smart/On Installments","PEL","Water Dispensers","No HD unique image found"
"PEL 316 Premier Water Dispenser/On Installments","PEL","Water Dispensers","No HD unique image found"
"PEL Water Dispenser PWD-425 Flat GD/On Installments","PEL","Water Dispensers","No HD unique image found"
"PEL 525 Curved Glassdoor Dispenser/On Installments","PEL","Water Dispensers","No HD unique image found"
