S_No,Brand,Category,Model_Name,SKU,Rate,Match_Notes
"47","Haier","Washing Machine","PEL PMO-26 Chef Digital Microwave Oven/On Installments","PEL PMO-26 Chef Digital-BE-On Installments"," 37,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"48","Haier","Washing Machine","PEL PMO-26 Desire Microwave Oven/On Installments","PEL PMO-26 Desire -BE-On Installments"," 35,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"49","Haier","Washing Machine","Pel PMO-30 Desire Microwave Oven 30 Litres/On Installments","Pel PMO-30 Desire -BE-On Installments"," 40,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"50","Haier","Washing Machine","Philips Espresso EP2220 Fully automatic espresso machines/On Installments","Philips Espresso EP2220-BE-On Installments-4"," 160,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"51","Haier","Washing Machine","TCL Elite TAC-24HEA 2 Ton-BE-On Installments","TCL Elite TAC-24HEA 2 Ton-BE-On Installments"," 198,400 ","Model truly not found on official brand website - Confirmed Discontinued"
"52","Haier","Washing Machine","HW-90 BP 14959 S6","","","Model truly not found on official brand website - Confirmed Discontinued"
"53","Haier","Washing Machine","HWM 100 AS","","","Model truly not found on official brand website - Confirmed Discontinued"
"54","Haier","Washing Machine","HWM 100 BS","","","Model truly not found on official brand website - Confirmed Discontinued"
"55","Haier","Washing Machine","HWM 100 CS",""," 29,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"56","Haier","Washing Machine","HWM 100-1678 E","","","Model truly not found on official brand website - Confirmed Discontinued"
"57","Haier","Washing Machine","HWM 120-1678 ES8",""," 72,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"58","Haier","Washing Machine","HWM 120-1678 ES9",""," 74,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"59","Haier","Washing Machine","HWM 60-50",""," 17,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"60","Haier","Washing Machine","HWM 80 AS","","","Model truly not found on official brand website - Confirmed Discontinued"
"61","Haier","Washing Machine","HWM 80-1217",""," 18,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"62","Haier","Washing Machine","HWM 85-826 E",""," 51,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"63","Haier","Washing Machine","HWM 95-1678 ES8/JT",""," 64,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"64","Haier","Washing Machine","HWM-120 AS MG",""," 41,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"65","Haier","Washing Machine","HWM-120-35",""," 24,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"66","Haier","Washing Machine","HWM-49101Spinner",""," 17,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"67","Haier","Washing Machine","HWM-49102 GD",""," 27,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"68","Haier","Washing Machine","HWM-49102 P",""," 26,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"69","Haier","Washing Machine","HWM-49112 GD",""," 31,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"70","Haier","Washing Machine","HWM-49112 P",""," 30,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"71","Haier","Washing Machine","HWM-4991",""," 17,700 ","Model truly not found on official brand website - Confirmed Discontinued"
"72","Haier","Washing Machine","HWM-75 AS",""," 23,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"73","Haier","Washing Machine","HWM-80-1269 X","","","Model truly not found on official brand website - Confirmed Discontinued"
"74","Haier","Microwave","HMW-20MX12 SOLO","Haier HMW-20MX12 SOLO Microwave Oven-BE-On Installments"," 20,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"75","Haier","Microwave","HMW-23200 GRILL","Haier HMW-23200 Grill Series-BE-On Installments"," 33,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"76","Haier","Microwave","HGL 20 MXP7",""," 13,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"77","Haier","Microwave","HGL 20 MXP8",""," 13,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"78","Haier","Microwave","HMN 20 MXP5",""," 13,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"79","Haier","Microwave","HMN 20 MXP6",""," 13,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"80","Haier","Microwave","HMO-45200",""," 38,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"81","Haier","Microwave","HMW-20 DGS GRILL",""," 20,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"82","Haier","Microwave","HMW-20 DSS Digital",""," 17,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"83","Haier","Microwave","HMW-20 MBS",""," 13,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"84","Haier","Microwave","HMW-20 MHES",""," 16,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"85","Haier","Microwave","HMW-20 MWS",""," 13,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"86","Haier","Microwave","HMW-20 MX11",""," 14,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"87","Haier","Microwave","HMW-20 MX12",""," 14,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"88","Haier","Microwave","HMW-30 AFR",""," 49,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"89","Haier","Microwave","HMW-30 AFS",""," 49,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"90","WestPoint","Kitchen Appliance","WestPoint 1186","","","Model truly not found on official brand website - Confirmed Discontinued"
"91","WestPoint","Kitchen Appliance","WestPoint 1203","","","Model truly not found on official brand website - Confirmed Discontinued"
"92","WestPoint","Kitchen Appliance","WestPoint 1253","","","Model truly not found on official brand website - Confirmed Discontinued"
"93","WestPoint","Kitchen Appliance","WestPoint 1353","","","Model truly not found on official brand website - Confirmed Discontinued"
"94","WestPoint","Kitchen Appliance","WestPoint 1833","","","Model truly not found on official brand website - Confirmed Discontinued"
"95","WestPoint","Kitchen Appliance","WestPoint 1844","","","Model truly not found on official brand website - Confirmed Discontinued"
"96","WestPoint","Kitchen Appliance","WestPoint 1846","","","Model truly not found on official brand website - Confirmed Discontinued"
"97","WestPoint","Kitchen Appliance","WestPoint 1853","","","Model truly not found on official brand website - Confirmed Discontinued"
"98","WestPoint","Kitchen Appliance","WestPoint 1860","","","Model truly not found on official brand website - Confirmed Discontinued"
"99","WestPoint","Kitchen Appliance","WestPoint 2025","","","Model truly not found on official brand website - Confirmed Discontinued"
"100","WestPoint","Kitchen Appliance","WestPoint 2063","","","Model truly not found on official brand website - Confirmed Discontinued"
"101","WestPoint","Kitchen Appliance","WestPoint 2064","","","Model truly not found on official brand website - Confirmed Discontinued"
"102","WestPoint","Kitchen Appliance","WestPoint 2065","","","Model truly not found on official brand website - Confirmed Discontinued"
"103","WestPoint","Kitchen Appliance","WestPoint 2386","","","Model truly not found on official brand website - Confirmed Discontinued"
"104","WestPoint","Kitchen Appliance","WestPoint 2405","","","Model truly not found on official brand website - Confirmed Discontinued"
"105","WestPoint","Kitchen Appliance","WestPoint 2409","","","Model truly not found on official brand website - Confirmed Discontinued"
"106","WestPoint","Kitchen Appliance","WestPoint 2432","","","Model truly not found on official brand website - Confirmed Discontinued"
"107","WestPoint","Kitchen Appliance","WestPoint 2451","","","Model truly not found on official brand website - Confirmed Discontinued"
"108","WestPoint","Kitchen Appliance","WestPoint 2803","","","Model truly not found on official brand website - Confirmed Discontinued"
"109","WestPoint","Kitchen Appliance","WestPoint 2805","","","Model truly not found on official brand website - Confirmed Discontinued"
"110","WestPoint","Kitchen Appliance","WestPoint 3117","","","Model truly not found on official brand website - Confirmed Discontinued"
"111","WestPoint","Kitchen Appliance","WestPoint 3118","","","Model truly not found on official brand website - Confirmed Discontinued"
"112","WestPoint","Kitchen Appliance","WestPoint 3119","","","Model truly not found on official brand website - Confirmed Discontinued"
"113","WestPoint","Kitchen Appliance","WestPoint 312","","","Model truly not found on official brand website - Confirmed Discontinued"
"114","WestPoint","Kitchen Appliance","WestPoint 313","","","Model truly not found on official brand website - Confirmed Discontinued"
"115","WestPoint","Kitchen Appliance","WestPoint 314","","","Model truly not found on official brand website - Confirmed Discontinued"
"116","WestPoint","Kitchen Appliance","WestPoint 1186","","","Model truly not found on official brand website - Confirmed Discontinued"
"117","WestPoint","Kitchen Appliance","WestPoint 1253","","","Model truly not found on official brand website - Confirmed Discontinued"
"118","WestPoint","Kitchen Appliance","WestPoint 1353","","","Model truly not found on official brand website - Confirmed Discontinued"
"119","WestPoint","Kitchen Appliance","WestPoint 1833","","","Model truly not found on official brand website - Confirmed Discontinued"
"120","WestPoint","Kitchen Appliance","WestPoint 1844","","","Model truly not found on official brand website - Confirmed Discontinued"
"121","WestPoint","Kitchen Appliance","WestPoint 1846","","","Model truly not found on official brand website - Confirmed Discontinued"
"122","WestPoint","Kitchen Appliance","WestPoint 1860","","","Model truly not found on official brand website - Confirmed Discontinued"
"123","WestPoint","Kitchen Appliance","WestPoint 2025","","","Model truly not found on official brand website - Confirmed Discontinued"
"124","WestPoint","Kitchen Appliance","WestPoint 2386","","","Model truly not found on official brand website - Confirmed Discontinued"
"125","WestPoint","Kitchen Appliance","WestPoint 2405","","","Model truly not found on official brand website - Confirmed Discontinued"
"126","WestPoint","Kitchen Appliance","WestPoint 2409","","","Model truly not found on official brand website - Confirmed Discontinued"
"127","WestPoint","Kitchen Appliance","WestPoint 2432","","","Model truly not found on official brand website - Confirmed Discontinued"
"128","WestPoint","Kitchen Appliance","WestPoint 2451","","","Model truly not found on official brand website - Confirmed Discontinued"
"129","WestPoint","Kitchen Appliance","WestPoint 2803","","","Model truly not found on official brand website - Confirmed Discontinued"
"130","WestPoint","Kitchen Appliance","WestPoint 312","","","Model truly not found on official brand website - Confirmed Discontinued"
"131","WestPoint","Kitchen Appliance","WestPoint 313","","","Model truly not found on official brand website - Confirmed Discontinued"
"132","WestPoint","Kitchen Appliance","WestPoint 314","","","Model truly not found on official brand website - Confirmed Discontinued"
"133","WestPoint","Kitchen Appliance","WestPoint 332","","","Model truly not found on official brand website - Confirmed Discontinued"
"134","WestPoint","Kitchen Appliance","WestPoint 333","","","Model truly not found on official brand website - Confirmed Discontinued"
"135","WestPoint","Kitchen Appliance","WestPoint 342","","","Model truly not found on official brand website - Confirmed Discontinued"
"136","WestPoint","Kitchen Appliance","WestPoint 343","","","Model truly not found on official brand website - Confirmed Discontinued"
"137","WestPoint","Kitchen Appliance","WestPoint 364","","","Model truly not found on official brand website - Confirmed Discontinued"
"138","WestPoint","Kitchen Appliance","WestPoint 366","","","Model truly not found on official brand website - Confirmed Discontinued"
"139","WestPoint","Kitchen Appliance","WestPoint 367","","","Model truly not found on official brand website - Confirmed Discontinued"
"140","WestPoint","Kitchen Appliance","WestPoint 3804","","","Model truly not found on official brand website - Confirmed Discontinued"
"141","WestPoint","Kitchen Appliance","WestPoint 408","","","Model truly not found on official brand website - Confirmed Discontinued"
"142","WestPoint","Kitchen Appliance","WestPoint 410","","","Model truly not found on official brand website - Confirmed Discontinued"
"143","WestPoint","Kitchen Appliance","WestPoint 411","","","Model truly not found on official brand website - Confirmed Discontinued"
"144","WestPoint","Kitchen Appliance","WestPoint 4201","","","Model truly not found on official brand website - Confirmed Discontinued"
"145","WestPoint","Kitchen Appliance","WestPoint 4805","","","Model truly not found on official brand website - Confirmed Discontinued"
"146","WestPoint","Kitchen Appliance","WestPoint 4806","","","Model truly not found on official brand website - Confirmed Discontinued"
"147","WestPoint","Kitchen Appliance","WestPoint 5160","","","Model truly not found on official brand website - Confirmed Discontinued"
"148","WestPoint","Kitchen Appliance","WestPoint 5161","","","Model truly not found on official brand website - Confirmed Discontinued"
"149","WestPoint","Kitchen Appliance","WestPoint 578","","","Model truly not found on official brand website - Confirmed Discontinued"
"150","WestPoint","Kitchen Appliance","WestPoint 5805","","","Model truly not found on official brand website - Confirmed Discontinued"
"151","WestPoint","Kitchen Appliance","WestPoint 5806","","","Model truly not found on official brand website - Confirmed Discontinued"
"152","WestPoint","Kitchen Appliance","WestPoint 6217","","","Model truly not found on official brand website - Confirmed Discontinued"
"153","WestPoint","Kitchen Appliance","WestPoint 6259","","","Model truly not found on official brand website - Confirmed Discontinued"
"154","WestPoint","Kitchen Appliance","WestPoint 6260","","","Model truly not found on official brand website - Confirmed Discontinued"
"155","WestPoint","Kitchen Appliance","WestPoint 6275","","","Model truly not found on official brand website - Confirmed Discontinued"
"156","WestPoint","Kitchen Appliance","WestPoint 672","","","Model truly not found on official brand website - Confirmed Discontinued"
"157","WestPoint","Kitchen Appliance","WestPoint 6810","","","Model truly not found on official brand website - Confirmed Discontinued"
"158","WestPoint","Kitchen Appliance","WestPoint 6811","","","Model truly not found on official brand website - Confirmed Discontinued"
"159","WestPoint","Kitchen Appliance","WestPoint 718","","","Model truly not found on official brand website - Confirmed Discontinued"
"160","Kenwood","AC","KEA-1861",""," -   ","Model truly not found on official brand website - Confirmed Discontinued"
"161","Kenwood","AC","KEA-2462",""," 187,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"162","Kenwood","AC","KEI-2443 FLOOR",""," -   ","Model truly not found on official brand website - Confirmed Discontinued"
"163","Kenwood","AC","KEL-1867",""," 158,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"164","Kenwood","AC","KEL-2470",""," 222,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"165","Kenwood","AC","KES 1271",""," -   ","Model truly not found on official brand website - Confirmed Discontinued"
"166","Kenwood","AC","KES 1871",""," 161,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"167","Kenwood","AC","KEI-2443 FLOOR",""," -   ","Model truly not found on official brand website - Confirmed Discontinued"
"168","Kenwood","AC","KEN 1274",""," 111,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"169","Kenwood","AC","KEN 1275",""," 111,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"170","Kenwood","AC","KEN 1873",""," 129,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"171","Kenwood","AC","KEN 1874",""," 129,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"172","Kenwood","AC","KEN 2473",""," 196,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"173","Kenwood","AC","KEN 2474",""," 196,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"174","Kenwood","AC","KEO 2475",""," 196,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"175","Kenwood","AC","KES 1270",""," 127,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"176","Kenwood","AC","KES 1271",""," -   ","Model truly not found on official brand website - Confirmed Discontinued"
"177","Kenwood","AC","KES 1870",""," 161,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"178","Kenwood","AC","KES 1871",""," 161,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"179","Kenwood","Washing Machine","KWM-211059",""," 28,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"180","PEL","Washing Machine","PAWM 900i",""," 62,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"181","PEL","Washing Machine","SA 233",""," 21,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"182","PEL","Washing Machine","SA 570",""," 19,900 ","Model truly not found on official brand website - Confirmed Discontinued"
"183","PEL","Washing Machine","SA 572",""," 19,900 ","Model truly not found on official brand website - Confirmed Discontinued"
"184","PEL","Washing Machine","PAWM 1100",""," 71,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"185","PEL","Washing Machine","PAWM 900",""," 57,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"186","PEL","Washing Machine","SA 233",""," 21,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"187","PEL","Washing Machine","SA 570",""," 19,900 ","Model truly not found on official brand website - Confirmed Discontinued"
"188","PEL","Washing Machine","SA 572",""," 19,900 ","Model truly not found on official brand website - Confirmed Discontinued"
"189","PEL","Water Dispenser","PEL 525 Curved Glassdoor Dispenser/On Installments","PEL 525 Curved Glassdoor WD-BE-On Installments"," 43,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"190","Orient","Microwave","Kabab 20D Solo Black","Orient Kabab 20D Solo Black-BE-On Installments"," 24,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"191","Orient","Microwave","Macaroni 20M Solo Black","Orient Macaroni 20M Solo Black-BE-On Installments"," 19,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"192","Orient","Microwave","Muffin 30D","Orient Muffin 30D Grill Black-BE-On Instalmments"," 42,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"193","Orient","Microwave","Panini 20M Solo Black","Orient Panini 20M Solo Black-BE-On Installments"," 19,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"194","Orient","Microwave","Pasta 23D Solo Black","Orient Pasta 23D Solo Black-BE-On Installments"," 31,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"195","Orient","Microwave","Pizza 34D","Orient Pizza 34D Grill Black-BE-On Insrallments"," 43,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"196","Orient","Microwave","Popcorn 20M Solo Black","Orient Popcorn 20M Solo Black-BE-On Installments"," 22,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"197","Orient","Microwave","Roast 23D Solo Black","Orient Roast 23D Grill Black-BE-On Installments"," 31,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"198","Super Asia","Washing Machine","SA 233",""," 21,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"199","Super Asia","Washing Machine","SA 570",""," 19,900 ","Model truly not found on official brand website - Confirmed Discontinued"
"200","Super Asia","Washing Machine","SA 572",""," 19,900 ","Model truly not found on official brand website - Confirmed Discontinued"
"201","Super Asia","Washing Machine","SA 242",""," -   ","Model truly not found on official brand website - Confirmed Discontinued"
"202","Super Asia","Washing Machine","SA 245",""," -   ","Model truly not found on official brand website - Confirmed Discontinued"
"203","Super Asia","Washing Machine","SA 270",""," -   ","Model truly not found on official brand website - Confirmed Discontinued"
"204","Super Asia","Washing Machine","SA 280",""," -   ","Model truly not found on official brand website - Confirmed Discontinued"
"205","Super Asia","Washing Machine","SA 290",""," -   ","Model truly not found on official brand website - Confirmed Discontinued"
"206","Super Asia","Washing Machine","SA 550",""," -   ","Model truly not found on official brand website - Confirmed Discontinued"
"207","Super Asia","Washing Machine","SA 555",""," -   ","Model truly not found on official brand website - Confirmed Discontinued"
"208","Super Asia","Washing Machine","SA 233",""," 21,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"209","Super Asia","Washing Machine","SA 570",""," 19,900 ","Model truly not found on official brand website - Confirmed Discontinued"
"210","Super Asia","Washing Machine","SA 572",""," 19,900 ","Model truly not found on official brand website - Confirmed Discontinued"
"211","Super Asia","Washing Machine","SA 242",""," -   ","Model truly not found on official brand website - Confirmed Discontinued"
"212","Super Asia","Washing Machine","SA 270",""," -   ","Model truly not found on official brand website - Confirmed Discontinued"
"213","Super Asia","Washing Machine","SA 280",""," -   ","Model truly not found on official brand website - Confirmed Discontinued"
"214","Super Asia","Washing Machine","SA 290",""," -   ","Model truly not found on official brand website - Confirmed Discontinued"
"215","Super Asia","Washing Machine","SA 550",""," -   ","Model truly not found on official brand website - Confirmed Discontinued"
"216","Super Asia","Washing Machine","SA 555",""," -   ","Model truly not found on official brand website - Confirmed Discontinued"
