S_No,Brand,Category,Model_Name,SKU,Rate,Image_Status,Source_File
18,"AC","AC","18 AITH",""," 225,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
19,"AC","AC","18 FITH 1",""," 205,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
20,"AC","AC","18 FITH 6C/S",""," 181,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
21,"AC","AC","18 FITH 7",""," 186,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
22,"AC","AC","18 HEF",""," -   ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
23,"AC","AC","18 HFC",""," 129,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
24,"AC","AC","18 HFP",""," 144,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
25,"AC","AC","18 HFT S",""," 160,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
26,"AC","AC","18 HFT W",""," 159,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
27,"AC","AC","18 HJ",""," 205,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
28,"AC","AC","18 HJ UV",""," 181,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
29,"AC","AC","18 PITH 10W",""," 141,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
30,"AC","AC","18 PITH 11S",""," 150,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
31,"AC","AC","18 PITH 11W",""," 146,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
32,"AC","AC","18 PITH 14S",""," 150,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
33,"AC","AC","18 T3 PRO",""," 164,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
34,"AC","AC","18 T3B",""," 160,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
35,"AC","AC","18G Frost Everest",""," 124,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
36,"AC","AC","18e Cool",""," 118,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
37,"AC","AC","19 HFAB Grey",""," 154,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
38,"AC","AC","19 HFAB White",""," 152,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
39,"AC","AC","19 HFC",""," 130,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
40,"AC","AC","19 HFP",""," 145,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
41,"AC","AC","19 LF",""," 122,500 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
