ALFA PRODUCT UPLOADED,MODEL IN LIST,LIST PRICE,PROFIT - DC,ALFA 10%,FINAL,MODEL IN LIST NOT AT ALFA,LIST PRICE,,,,,,,
"TCL 43"" P71B UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL 43"" P71B"," 80,000 "," 90,000 "," 100,000 ",100000,NO,,,,,,,,
"TCL 50"" P71B UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL 50"" P71B"," 102,000 "," 117,000 "," 130,000 ",130000,OK,,,,,,,,
"TCL 55"" P71B UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL 55"" P71B"," 107,000 "," 122,000 "," 135,556 "," 135,500 ",,,,,,,,,
"TCL 65"" P71B UHD Android TV ONLY FOR KARACHI-By Electronics World",NO,,, -   ,,,,,,,,,,
"TCL 75"" P71B UHD Android TV ONLY FOR KARACHI-By Electronics World",NO,,, -   ,,,,,,,,,,
,,,, -   ,,,,,,,,,,
"TCL 55"" C645 QLED Smart TV ONLY FOR KARACHI-By Electronics World","TCL 55"" C645"," 135,000 "," 150,000 "," 166,667 ",166500,OK,,,,,,,,
,,,, -   ,,,,,,,,,,
"TCL 43"" P755 UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL 43"" P755"," 83,000 "," 93,000 "," 103,333 ",103500,OK,,,,,,,,
"TCL 50"" P755 UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL 50"" P755"," 100,000 "," 110,000 "," 122,222 ",122000,OK,,,,,,,,
"TCL 55"" P755 UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL 55"" P755"," 120,000 "," 135,000 "," 150,000 ",150000,OK,,,,,,,,
"TCL 65"" P755 UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL 65"" P755"," 192,000 "," 207,000 "," 230,000 ",230000,OK,,,,,,,,
"TCL 75"" P755 UHD Android TV ONLY FOR KARACHI-By Electronics World",NO,,, -   ,,,,,,,,,,
,,,, -   ,,,,,,,,,,
"TCL 55"" C755 Mini LED 4K TV ONLY FOR KARACHI-By Electronics World",NO,,, -   ,,,,"TCL 55"" C6K"," 195,000 ",,,,,
"TCL 65"" C755 Mini LED 4K TV ONLY FOR KARACHI-By Electronics World",NO,,, -   ,,,,"TCL 65"" C6K"," 253,000 ",,,,,
"TCL 75"" C755 Mini LED 4K TV ONLY FOR KARACHI-By Electronics World",NO,,, -   ,,,,"TCL 75"" C6K"," 376,000 ",,,,,
,,,, -   ,,,,"TCL 85"" C6K"," 588,000 ",,,,,
"TCL 75"" C835 TCL Mini LED TV ONLY FOR KARACHI-By Electronics World",NO,,, -   ,,,,"TCL 98"" C6K"," 880,000 ",,,,,
,,,, -   ,,,,,,,,,,
"TCL 65"" C855 Premium QD-MiniLED TV ONLY FOR KARACHI-By Electronics World",NO,,, -   ,,,,"TCL 75"" C7K"," 605,000 ",,,,,
"TCL 75"" C855 Premium QD-MiniLED TV ONLY FOR KARACHI-By Electronics World",NO,,, -   ,,,,"TCL 85"" C7K"," 780,000 ",,,,,
,,,, -   ,,,,"TCL 98"" C7K"," 1,125,000 ",,,,,
"TCL 55"" P6K UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL 55"" P6K"," 108,000 "," 123,000 "," 141,379 ",140000,OK,,,,,,,,
"TCL 65"" P6K UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL 65"" P6K"," 169,000 "," 184,000 "," 204,444 ",204500,OK,,,,,,,,
,,,, -   ,,,,,,,,,,
"TCL 50"" C6KS QD-MiniLED TV ONLY FOR KARACHI-By Electronics World","TCL 50"" C6KS"," 151,500 "," 166,500 "," 185,000 ",185000,OK,,,,,,,,
"TCL 55"" C6KS QD-MiniLED TV ONLY FOR KARACHI-By Electronics World","TCL 55"" C6KS"," 171,500 "," 186,500 "," 207,222 ",207000,OK,,,,,,,,
"TCL 65"" C6KS QD-MiniLED TV ONLY FOR KARACHI-By Electronics World","TCL 65"" C6KS"," 229,000 "," 244,000 "," 271,111 ",271000,OK,,,,,,,,
"TCL 75"" C6KS QD-MiniLED TV ONLY FOR KARACHI-By Electronics World","TCL 75"" C6KS"," 326,000 "," 341,000 "," 378,889 ",379000,OK,,,,,,,,
,,,, -   ,,,,,,,,,,
"TCL 43"" T6C QLED TV ONLY FOR KARACHI-By Electronics World","TCL 43"" T6C"," 83,000 "," 93,000 "," 103,333 ",103500,OK,,,,,,,,
"TCL 50"" T6C QLED TV ONLY FOR KARACHI-By Electronics World","TCL 50"" T6C"," 102,000 "," 117,000 "," 130,000 ",130000,OK,,,,,,,,
"TCL 55"" T6C QLED TV ONLY FOR KARACHI-By Electronics World","TCL 55"" T6C"," 122,000 "," 137,000 "," 152,222 ",152000,OK,,,,,,,,
"TCL 65"" T6C QLED TV ONLY FOR KARACHI-By Electronics World","TCL 65"" T6C"," 176,000 "," 191,000 "," 212,222 ",212500,OK,,,,,,,,
"TCL 75"" T6C QLED TV ONLY FOR KARACHI-By Electronics World","TCL 75"" T6C"," 248,000 "," 263,000 "," 292,222 ",292000,OK,,,,,,,,
"TCL 85"" T6C QLED TV ONLY FOR KARACHI-By Electronics World","TCL 85"" T6C"," 445,000 "," 460,000 "," 511,111 ",511000,NOT UPLOADED,,,,,,,,
,,,, -   ,,,,,,,,,,
"TCL 43"" P79K QLED TV ONLY FOR KARACHI-By Electronics World","TCL 43"" P79K"," 92,000 "," 102,000 "," 113,333 ",113500,NOT UPLOADED,,,,,,,,
"TCL 50"" P79K QLED TV ONLY FOR KARACHI-By Electronics World","TCL 50"" P79K"," 112,000 "," 127,000 "," 141,111 ",141000,NOT UPLOADED,,,,,,,,
"TCL 55"" P79K QLED TV ONLY FOR KARACHI-By Electronics World","TCL 55"" P79K"," 132,000 "," 147,000 "," 163,333 ",163500,NOT UPLOADED,,,,,,,,
"TCL 65"" P79K QLED TV ONLY FOR KARACHI-By Electronics World","TCL 65"" P79K"," 182,000 "," 197,000 "," 218,889 ",219000,NOT UPLOADED,,,,,,,,
"TCL 75"" P79K QLED TV ONLY FOR KARACHI-By Electronics World","TCL 75"" P79K"," 270,000 "," 285,000 "," 316,667 ",316500,NOT UPLOADED,,,,,,,,
"TCL 85"" P79K QLED TV ONLY FOR KARACHI-By Electronics World","TCL 85"" P79K"," 470,000 "," 485,000 "," 538,889 ",539000,NOT UPLOADED,,,,,,,,
,,,, -   ,,,,,,,,,,
"TCL 55"" P8K QLED TV ONLY FOR KARACHI-By Electronics World","TCL 55"" P8K"," 151,000 "," 166,000 "," 184,444 ",184500,NOT UPLOADED,,,,,,,,
"TCL 65"" P8K QLED TV ONLY FOR KARACHI-By Electronics World","TCL 65"" P8K"," 212,000 "," 227,000 "," 252,222 ",252000,NOT UPLOADED,,,,,,,,
"TCL 75"" P8K QLED TV ONLY FOR KARACHI-By Electronics World","TCL 75"" P8K"," 295,000 "," 310,000 "," 344,444 ",344500,NOT UPLOADED,,,,,,,,
"TCL 85"" P8K QLED TV ONLY FOR KARACHI-By Electronics World","TCL 85"" P8K"," 490,000 "," 505,000 "," 561,111 ",561000,NOT UPLOADED,,,,,,,,
"TCL 98"" P8K QLED TV ONLY FOR KARACHI-By Electronics World","TCL 98"" P8K"," 755,000 "," 770,000 "," 855,556 ",855500,NOT UPLOADED,,,,,,,,
,,,,,,,,,,,,,,
HAIER LEDs,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Haier 40"" Android LED H40K66FG/On Installments ONLY KARACHI","40"" K66"," 56,000 "," 66,000 "," 73,333 ",73500,"32"" D2"," 34,000 ",,,,,,,
"Haier 43"" Inch H43K66UGP Smart Android LED TV With Official Warranty ONLY FOR KARACHI-By Electronics World","43"" K66 UG 4K"," 71,000 "," 81,000 "," 90,000 ",90000,"40"" K800"," 58,000 ",,,,,,,
,,,, -   ,,"43"" K800U 4K/801 UX"," 73,000 ",,,,,,,
"Haier 32"" H32K800X- Google LED ONLY FOR KARACHI-By Electronics World","32"" K800/K801"," 43,000 "," 53,000 "," 58,889 ",59000,"65"" S800 Q-LED PRO"," 225,000 "," 235,000 "," 261,111 ",,,,,
"Haier 43"" H43K800FX- Google LED ONLY FOR KARACHI-By Electronics World","43"" K800/K801 FX"," 70,000 "," 80,000 "," 88,889 ",89000,"85"" S800 Q-LED"," 475,000 ",,,,,,,
,,,, -   ,,"43"" P7 "," 80,000 ",,,,,,,
Haier 43 Inch H43S800UX QLED Google TV With Official Warranty ONLY FOR KARACHI-By Electronics World,"43"" S800 Q-LED"," 97,000 "," 107,000 "," 118,889 ",119000,"50"" P7"," 98,000 ",,,,,,,
Haier 50 Inch H50S800UX QLED Google TV With Official Warranty ONLY FOR KARACHI-By Electronics World,"50"" S800 Q-LED"," 111,000 "," 126,000 "," 140,000 ",140000,"55"" P7"," 131,000 ",,,,,,,
Haier 55 Inch H55S800EUX QLED Google TV With Official Warranty ONLY FOR KARACHI-By Electronics World,"55"" S800 Q-LED"," 140,000 "," 155,000 "," 172,222 ",172000,"65"" P7"," 180,000 ",,,,,,,
Haier 75 Inch H75S800UX QLED Google TV With Official Warranty ONLY FOR KARACHI-By Electronics World,"75"" S800 Q-LED"," 285,000 "," 300,000 "," 333,333 ",333500,"43"" S80"," 78,000 ",,,,,,,
,,,, -   ,,"98"" S90"," 775,000 ",,,,,,,
"Haier 32"" QLED H32S80EFX - Google TV With Official Warranty ONLY FOR KARACHI-By Electronics World","32"" S80"," 46,000 "," 56,000 "," 62,222 ",62000,"32"" K85"," 45,000 ",,,,,,,
"Haier 50"" QLED H50S80EUX - Google TV With Official Warranty ONLY FOR KARACHI-By Electronics World","50"" S80"," 97,000 "," 112,000 "," 124,444 ",124500,"43"" K85 FX"," 71,000 ",,,,,,,
"Haier 55"" QLED H55S80EUX - Google TV ONLY FOR KARACHI-By Electronics World","55"" S80 / S81"," 106,000 "," 121,000 "," 139,080 ",139000,"43"" K85 UX"," 78,000 ",,,,,,,
"Haier 65"" QLED H65S80EU-S80E 4K Smart TV ONLY FOR KARACHI-By Electronics World","65"" S80"," 168,000 "," 183,000 "," 203,333 ",203500,,,,,,,,,
"Haier 75"" QLED H75S80EUX-Google TV ONLY FOR KARACHI-By Electronics World","75"" S80"," 242,000 "," 257,000 "," 285,556 ",285500,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
