Product ID ,Title ,Description  ,Vendor ,Brands ,Product Type ,Category ,Tags ,SEO Title ,SEO Description ,Product Images,Option1 Name ,Option1 Value ,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU ,Variant Barcode ,Variant Weight ,Variant Weight Unit  ,Variant Price ,Variant Compare At Price  ,Variant Bin Number,Variant Quantity ,Handle ,Size Chart,Collection,Short Description ,Commission Percentage,Attribute_Air Conditioner Type ,Attribute_Washing Machine Type,Attribute_Washing Machine Capacity,Attribute_Product Type,Attribute_Display Size,Attribute_Capacity,Attribute_Warranty  ,Attribute_Air Conditioner Capacity ,Attribute_Refrigerator Type,Attribute_Microwave Type,Attribute_INV/NON-INV,Attribute_Processor,Attribute_Water Dispenser Type,Attribute_LED Type,Attribute_Geyser Type,Attribute_Geyser Capacity,Attribute_Watts,Attribute_Volt,Attribute_Generation,Attribute_Fan Type,Attribute_Battery,Attribute_Core,Attribute_Capacity,Attribute_Thickness,Attribute_BNPL,Attribute_Fragrance Type,Attribute_Lasting,Attribute_Sillage / Projection,Attribute_Season,Attribute_UPS Inverter Type,Attribute_Generator Types,Attribute_Watch Sizes,Attribute_Watch Display Type,Attribute_Watch Band,Attribute_Watch Sensor Feature,Attribute_SKin Type,Attribute_Air Cooler Category
,EcoStar ES-12NV01W T3,The EcoStar 12NV01W T3 is a 1-ton inverter split AC (Heat & Cool) built for heavy summer heat. It runs down to 200W to save power and supports solar/UPS setups.,Electronics World,ECOSTAR,"home appliances,air conditioners",11639_11643_11653_11782_11783,"T3Compressor,FullDCInverter,LowWattage,QuickCooling ,12000BTU ",EcoStar 12NV01W T3 Novo Series 1-Ton DC Inverter AC,EcoStar 12NV01W T3 Novo Series 1-Ton DC Inverter AC,https://electromart.com.pk/wp-content/uploads/2026/02/ChatGPT-Image-Feb-26-2026-10_34_48-PM-3-768x512.png,Color,White,,,,,ECOSTAR-ES-12NV01W-T3,ECOSTAR-ES-12NV01W-T3,65,kg,116957,121957,,100,ecostar-es-12nv01w-t3,,,"A 1-ton, highly energy-efficient Inverter AC built to handle extreme summer heat while running on minimal solar or UPS power.",,Split,,,,,,10 Year,1 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ecostar AC 18NV01WT3 1.5 Ton T3 Inverter Split AC,"The EcoStar 1.5 Ton Novo Series (ES-18NV01WT3) is an energy-efficient Heat & Cool DC Inverter split air conditioner. Powered by a heavy-duty T3 compressor, it provides stable, high-performance cooling even during extreme 52°C heatwaves without tripping.",Electronics World,ECOSTAR,"home appliances,air conditioners",11639_11643_11653_11782_11783," 230WLowPower,SolarFriendlyAC,WiFiSmartAC,SelfCleaningAC",EcoStar 1.5 Ton T3 Inverter AC ES-18NV01WT3,EcoStar 1.5 Ton T3 Inverter AC ES-18NV01WT3,https://electromart.com.pk/wp-content/uploads/2026/02/ChatGPT-Image-Feb-26-2026-10_34_48-PM-4.png,Color,White,,,,,ECOSTAR-AC-18NV01WT3-T3-INVERTER-SPLIT-AC,ECOSTAR-AC-18NV01WT3-T3-INVERTER-SPLIT-AC,65,kg,145217,150217,,100,ecostar-ac-18nv01wt3-t3-inverter-split-ac,,,"A 1.5 Ton T3 Heat & Cool DC Inverter AC built for extreme climates up to 52°C, featuring smart Wi-Fi, 5-step power limiting",,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,EcoStar AC 12DU02GC 1 Ton Inverter Split AC Duke Series,"The EcoStar 12 DU Grey is a 1-Ton (12,000 BTU) Heat & Cool Inverter AC designed for rooms up to 150 sq. ft. It features a sleek grey chassis, an eco-friendly R32 refrigerant, a low-voltage operation range (150V–270V), and 4D airflow for even cooling.",Electronics World,ECOSTAR,"home appliances,air conditioners",11639_11643_11653_11782_11783,"R32Refrigerant,4DAirflow,AIClimateControl,SelfCleaningAC",EcoStar 12 DU Grey 1 Ton Inverter AC,EcoStar 12 DU Grey 1 Ton Inverter AC,https://electromart.com.pk/wp-content/uploads/2026/03/Ecostar-ac-12du02gc.webp,Color,Grey,,,,,ECOSTAR-AC-12DU02GC-INVERTER-SPLIT-AC,ECOSTAR-AC-12DU02GC-INVERTER-SPLIT-AC,65,kg,108261,113261,,100,ecostar-ac-12du02gc-inverter-split-ac,,,"An energy-saving, 1-Ton grey inverter AC with multi-directional airflow and low-voltage protection.",,Split,,,,,,10 Year,1 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ecostar 18DU 1.5-Ton DC Inverter Grey,"The EcoStar 1.5-Ton Duke Grey (ES-18DU) is a glossy-grey, all-season Inverter AC designed to heat and cool rooms up to 200 sq. ft. while saving up to 67% on energy. It handles low voltages down to 150V without a stabilizer and features self-cleaning tech alongside heavy-duty gold fin rust protection.",Electronics World,ECOSTAR,"home appliances,air conditioners",11639_11643_11653_11782_11783,"AmpereLock,4DAirflow,SelfCleaningAC,GoldFinProtection,WiFiReadyAC",EcoStar 18 DU Grey 1.5 Ton Inverter AC,EcoStar 18 DU Grey 1.5 Ton Inverter AC,https://mns.com.pk/wp-content/uploads/2025/04/Eco.png,Color,Grey,,,,,ECOSTAR-18DU-1.5-TON-DC-INVERTER,ECOSTAR-18DU-1.5-TON-DC-INVERTER,65,kg,127826,132826,,100,ecostar-18du-1.5-ton-dc-inverter,,,"A sleek, glossy-grey 1.5-ton Inverter AC (Heat & Cool) that slashes power bills by up to 67% and runs reliably on low voltage without a stabilizer.",,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,EcoStar Duke  1.5 Ton White Split AC White,"The EcoStar 18 DU White is a 1.5-ton (18,000 BTU) Inverter split AC from the Duke Series that offers both heating and cooling. It runs on eco-friendly R32 gas, operates on low voltage (150V), and features a self-cleaning mode, 4D airflow, and Wi-Fi capability.",Electronics World,ECOSTAR,"home appliances,air conditioners",11639_11643_11653_11782_11783,"LowVoltageOperation,4DAirflow,SelfCleaningAC,WiFiReady",EcoStar 1.5 Ton Inverter AC 18 DU White,EcoStar 1.5 Ton Inverter AC 18 DU White,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtdhhI59RtEfpD8ohdafQ2Rh00FvE_GwREZm7DP3U_Liq5QaimvPJMEBE&s=10,Color,White,,,,,ECOSTAR-DUKE-1.5-TON-WHITE-SPLIT-AC,ECOSTAR-DUKE-1.5-TON-WHITE-SPLIT-AC,65,kg,126739,131739,,100,ecostar duke 1.5 ton white split ac,,,"EcoStar Duke 1.5 Ton White Split AC (18 DU) is a high-performance, energy-efficient inverter air conditioner built for all-season use with both heating.",,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,EcoStar 18T3PRO 1.5 TON Inverter Split AC (Heat & Cool),"The EcoStar 18PRO T3 White is a 1.5-ton heat-and-cool inverter AC built for extreme heat (over 50°C) using a heavy-duty T3 compressor and eco-friendly R32 gas. It features an Ampere Lock for solar/UPS compatibility, self-cleaning, and gold fin rust protection.",Electronics World,ECOSTAR,"home appliances,air conditioners",11639_11643_11653_11782_11783,"R32Refrigerant,AmpereLock,SolarCompatible,LowVoltageStartup",EcoStar 18PRO T3 White 1.5 Ton Inverter AC,EcoStar 18PRO T3 White 1.5 Ton Inverter AC,https://www.surmawala.pk/cdn/shop/files/t3-new.png?v=1754727601,Color,White,,,,,ECOSTAR-PRINCE-1.5TON-INVERTER-SPLIT-AC,ECOSTAR-PRINCE-1.5TON-INVERTER-SPLIT-AC,65,kg,165870,170870,,100,ecostar-prince-1.5ton-inverter-split-ac,,,"A 1.5-ton inverter AC with a T3 compressor for extreme heat, solar/generator power limiting, and heat-and-cool functionality.",,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gree 1.0 Ton Inverter Air Conditioner 12AITH24 T3,"It uses AI to optimize cooling and cut power bills, can be locked to a specific electricity amperage to prevent tripping your breaker, and features a built-in UV light to kill bacteria. Its rugged T3 compressor ensures it keeps cooling even in extreme summer heat waves up to 68°C.",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"T3Compressor,AIInverter,AmpereLock,UVCSterilization",Gree Airy Pro 1 Ton Heat & Cool Inverter AC,Gree Airy Pro 1 Ton Heat & Cool Inverter AC,https://www.alfatah.com.pk/wp-content/uploads/2026/04/final_gree_center.webp,Color,White,,,,,GREE-1.0-TON-AIR-CONDITIONER-12AITH24 T3,GREE-1.0-TON-AIR-CONDITIONER-12AITH24 T3,65,kg,194043,199043,,100,gree-1.0-ton-air-conditioner-12aith24 t3,,,"The Gree Airy Pro 1.0 Ton Inverter AC (GS-12AITH24S-T3) is a premium, smart heat-and-cool air conditioner designed for small rooms.",,Split,,,,,,10 Year,1.0 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,GREE Split AC 1 TON Pular Series (Inverter),"The Gree GS-12PITH11W (Pular Series) is a premium 1-Ton Inverter AC that provides both heating and cooling. Driven by energy-efficient G-10 inverter technology, it delivers up to 60% electricity savings and features a low-voltage startup (down to 150V) to handle power fluctuations",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"G10Inverter,LowVoltageStartup,R32Refrigerant,4WayAirflow",Gree 12PITH11W 1-Ton Inverter AC | Pular Heat & Cool,Gree 12PITH11W 1-Ton Inverter AC | Pular Heat & Cool,https://static.tossdown.com/images/137b177d-93a2-47f6-80b3-63057e4ca4fb.webp,Color,White,,,,,GREE-SPLIT-AC-1TON-PULAR-SERIES-INVERTER,GREE-SPLIT-AC-1TON-PULAR-SERIES-INVERTER,65,kg,163696,168696,,100,gree-split-ac-1ton-pular-series-inverter,,,"The Gree 12PITH11W is a highly efficient 1-Ton Heat & Cool Inverter AC featuring up to 60% energy savings, stabilizer-free low-voltage operation",,Split,,,,,,10 Year,1 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gree AC 12PITH15W-T3 1 Ton Pular T3 Inverter AC,"The Gree Pular 1.0 Ton DC Inverter (12PITH15W-T3) is a highly efficient ""Heat & Cool"" split AC built for extreme summer heat (up to 52°C) using a rugged T3 compressor. It features Wi-Fi control, eco-friendly R32 gas, amp-locking to save electricity, and a self-cleaning function. It is ideal for small to medium rooms.",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"Extreme-Heat-AC,Energy-Saving,Small-Room-AC,Gree-Pular",Gree Pular 1.0 Ton DC Inverter AC (12PITH15W-T3) |,Gree Pular 1.0 Ton DC Inverter AC (12PITH15W-T3) |,https://electromart.com.pk/wp-content/uploads/2026/03/Gree-AC-24PITH15W-T3-2.webp,Color,White,,,,,GREE-12PITH15W-T3-PULAR-T3-INVERTER-AC,GREE-12PITH15W-T3-PULAR-T3-INVERTER-AC,65,kg,146304,151304,,100,gree-12pith15w-t3-pular-t3-inverter-ac,,,"A 1.0 Ton smart inverter AC designed for heavy summer heat, offering high energy savings and smart Wi-Fi controls.",,Split,,,,,,10 Year,1 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,GREE AC 1 TON Inverter Split 12PITC12W-T3,"The GREE Pular 12PITC12W-T3 is a 1-Ton (12,000 BTU) ""Cool Only"" Inverter Split AC. It is specifically engineered with a heavy-duty T3 Tropical Compressor to deliver strong, energy-efficient cooling in extreme climates up to 55°C. Ideal for rooms up to 150 sq. ft.,",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"WiFi AC,Smart AC,Low Voltage Startup,Colasma Air Filter",Gree Pular T3 Inverter AC 12PITC12W,Gree Pular T3 Inverter AC 12PITC12W,https://cdn.comverseglobal.com/alfa/products/product_images/e9e18315-73e3-45ad-9e2f-af985255cf38[1]_040626150032714429.webp,Color,White,,,,,GREE-AC-1TON-INVERTER-SPLIT-12PITC12W-T3,GREE-AC-1TON-INVERTER-SPLIT-12PITC12W-T3,65,kg,141957,146957,,100,gree-ac-1ton-inverte- split-12pitc12w-t3,,,"A 1-Ton, energy-saving ""Cool Only"" inverter AC built for extreme heat (up to 55°C), featuring Wi-Fi control and eco-friendly R32 gas.",,Split,,,,,,10 Year,1 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gree AC 12ZITH1W-T3 Ultra 1 Ton Zeno T3 Inverter Split AC,"The Gree Zeno 1-Ton Inverter AC (12ZITH) is a smart, energy-efficient split air conditioner designed for extreme climates. Powered by a heavy-duty T3 tropicalized compressor and eco-friendly R32 refrigerant, it maintains strong, reliable cooling even when outdoor temperatures hit 52°C",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"WiFiEnabled,SmartAC,4WayAirflow,IFeelTechnology,SelfCleaningAC",Gree 1 Ton T3 Inverter AC 12ZITH (Heat & Cool),Gree 1 Ton T3 Inverter AC 12ZITH (Heat & Cool),https://electromart.com.pk/wp-content/uploads/2026/03/IMG_3030.png,Color,White,,,,,GREE-12ZITH1W-ULTRA-ZENO-INVERTER-SPLIT,GREE-12ZITH1W-ULTRA-ZENO-INVERTER-SPLIT,65,kg,150652,155652,,100,gree-12zith1w-ultra-zeno-inverter-split,,,"A 1-ton smart inverter AC with a heavy-duty T3 tropical compressor, built to deliver energy-saving cooling even in extreme 52°C heat.",,Split,,,,,,10 Year,1 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gree AC 18AITH21W Black 1.5 Ton Airy Plus T3 Inverter,"The Gree Airy Plus 1.5 Ton T3 Inverter AC (Black) is an ultra-premium, heat-and-cool air conditioner built to deliver robust cooling in extreme desert heat up to 68°C. It features a sleek matte black chassis, advanced AI energy saving, built-in Wi-Fi, and 4D airflow with a massive 15.5-meter throw.",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"GS-18AITH21W,Gree-Black-AC,Premium-Matte-Black,Gree-18AITH",Gree Airy Plus 1.5 Ton T3 Inverter AC Black (18AITH21W),Gree Airy Plus 1.5 Ton T3 Inverter AC Black (GS-18AITH21W),,Color,Black,,,,,GREE-18AITH21W-AIRY-PLUS T3-INVERTER,GREE-18AITH21W-AIRY-PLUS T3-INVERTER,65,kg,206807,211807,,100,gree-18aith21w-airy-plus-t3-inverter,,,The Gree Airy Plus 1.5-Ton T3 Inverter is a  Heat & Cool AC built to conquer extreme 68°C desert heat using smart AI power-saving tech.,,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gree AC 18AITH21W 1.5 Ton Airy Plus T3 Inverter,"The Gree Airy 1.5-Ton Inverter AC (White) is a premium, ultra-quiet heat-and-cool split unit featuring a T3 tropical compressor built for extreme heat. It delivers a massive 15.5-meter air throw, self-cleaning technology, and smart Wi-Fi controls.",Electronics World,GREE,"home appliances,air conditioners",11639_11643_11653_11782_11783,"TropicalAC,WiFiEnabled,EnergyEfficient,UltraQuiet,EcoFriendly",Gree Airy 1.5 Ton T3 Inverter Split AC with Wi-F,Gree Airy 1.5 Ton T3 Inverter Split AC with Wi-F,https://electromart.com.pk/wp-content/uploads/2026/04/IMG_3028.webp,Color,White,,,,,GREE-18AITH21W-AIRY-PLUS T3-INVERTER,GREE-18AITH21W-AIRY-PLUS T3-INVERTER,65,kg,206807,211807,,100,gree-18aith21w-airy-plus-t3-inverter,,,"A 1.5-ton, ultra-quiet, Wi-Fi smart heat-and-cool AC built for extreme heat.",,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
