id,name,category,brand,price,image
1223,"Orient Infinity 18X Silver Matt T3+","Air Conditioners","Orient",18000,"https://www.orient.com.pk/assets/products-images-2026/air-conditioners/15-ton-megatron-infinity-ecomfort-dc-inverter.png.webp"
1224,"EcoStar AC 12EMC1 1 Ton Inverter Split AC","Air Conditioners","EcoStar",121112,"https://www.surmawala.pk/cdn/shop/files/emc-10.jpg?v=1776872697"
1225,"EcoStar Emperor Cool Series ES-18EMC1WS 1.5 Ton Split AC","Air Conditioners","EcoStar",18115,"https://gulfelectronics.pk/wp-content/uploads/2025/07/ye-mujhe-white-background-main-share-karoo-2026-03-05T131249.436.jpg"
1226,"EcoStar Emperor Series 1 TON White Split Air Conditioner","Air Conditioners","EcoStar",105000,"https://cdn.comverseglobal.com/alfa/products/product_images/17805610978198597_040626131817990568.jpg"
1227,"EcoStar Emperor Cool Series 1.5 TON Split AC","Air Conditioners","EcoStar",181532,"https://static.tossdown.com/images/d4d2417a-04e4-449a-99e7-24bda86a6a85.webp"
1228,"EcoStar ES-12NV01W T3","Air Conditioners","EcoStar",12013,"https://electromart.com.pk/wp-content/uploads/2026/02/ChatGPT-Image-Feb-26-2026-10_34_48-PM-3-768x512.png"
1229,"Ecostar AC 18NV01WT3 1.5 Ton T3 Inverter Split AC","Air Conditioners","EcoStar",180133,"https://electromart.com.pk/wp-content/uploads/2026/02/ChatGPT-Image-Feb-26-2026-10_34_48-PM-4.png"
1230,"EcoStar AC 12DU02GC 1 Ton Inverter Split AC Duke Series","Air Conditioners","EcoStar",12021,"https://electromart.com.pk/wp-content/uploads/2026/03/Ecostar-ac-12du02gc.webp"
1231,"Ecostar 18DU 1.5-Ton DC Inverter Grey","Air Conditioners","EcoStar",202504,"https://mns.com.pk/wp-content/uploads/2025/04/Eco.png"
1232,"EcoStar Duke  1.5 Ton White Split AC White","Air Conditioners","EcoStar",181518,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtdhhI59RtEfpD8ohdafQ2Rh00FvE_GwREZm7DP3U_Liq5QaimvPJMEBE&s=10"
1233,"EcoStar 18T3PRO 1.5 TON Inverter Split AC (Heat & Cool)","Air Conditioners","EcoStar",18315,"https://www.surmawala.pk/cdn/shop/files/t3-new.png?v=1754727601"
1234,"Gree 1.0 Ton Inverter Air Conditioner 12AITH24 T3","Air Conditioners","Gree",202604,"https://www.alfatah.com.pk/wp-content/uploads/2026/04/final_gree_center.webp"
1235,"GREE Split AC 1 TON Pular Series (Inverter)","Air Conditioners","Gree",60150,"https://static.tossdown.com/images/137b177d-93a2-47f6-80b3-63057e4ca4fb.webp"
1236,"Gree AC 12PITH15W-T3 1 Ton Pular T3 Inverter AC","Air Conditioners","Gree",121533,"https://electromart.com.pk/wp-content/uploads/2026/03/Gree-AC-24PITH15W-T3-2.webp"
1237,"GREE AC 1 TON Inverter Split 12PITC12W-T3","Air Conditioners","Gree",112123,"https://cdn.comverseglobal.com/alfa/products/product_images/e9e18315-73e3-45ad-9e2f-af985255cf38[1]_040626150032714429.webp"
1238,"Gree AC 12ZITH1W-T3 Ultra 1 Ton Zeno T3 Inverter Split AC","Air Conditioners","Gree",121313,"https://electromart.com.pk/wp-content/uploads/2026/03/IMG_3030.png"
1239,"Gree AC 18AITH21W Black 1.5 Ton Airy Plus T3 Inverter","Air Conditioners","Gree",18213,"null"
1240,"Gree AC 18AITH21W 1.5 Ton Airy Plus T3 Inverter","Air Conditioners","Gree",18213,"https://electromart.com.pk/wp-content/uploads/2026/04/IMG_3028.webp"
1241,"Gree AC 18AITH24W-T3 1.5 Ton Airy Pro T3 Inverter AC","Air Conditioners","Gree",18243,"https://electromart.com.pk/wp-content/uploads/2026/02/Gree-AC-18AITH24W-T3.webp"
1242,"Gree 1.5 Ton T3 Inverter Ac 18AITH24S","Air Conditioners","Gree",251739,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShOkVxRAQ-lOaO7zuPRXP1Ofq7XqameRrwa0O3O9PWg5oIIif9c6scVUEy&s=10"
1243,"Gree AC 18ZITH1W-T3 Ultra 1.5 Ton Zeno T3 Inverter Split AC","Air Conditioners","Gree",185435,"https://electromart.com.pk/wp-content/uploads/2026/03/IMG_3030.png"
1244,"Gree 1.5 Ton DC Inverter A/C Only Cool � 18PITH-10W","Air Conditioners","Gree",151810,"/images/products/gree-gree-1-5-ton-dc-inverter-a-c-only-cool-18pith-10w.jpg"
1245,"Gree Inverter AC| 1.5 Ton | 18PITH 11S/11W/14S","Air Conditioners","Gree",163696,"null"
1246,"Gree 1.5 Ton Inverter Split AC GS-18PITH14","Air Conditioners","Gree",151814,"https://www.aysonline.pk/wp-content/uploads/2025/05/GREE-SPILT-AC-GS-18PITH14S-TURBO-600x600.png"
1247,"Gree 1.5 Ton GS-18 PITH11G Grey Pular Series Inverter","Air Conditioners","Gree",151811,"https://electromart.com.pk/wp-content/uploads/2023/01/46f87084-7f3d-4227-8550-576a3a0d6ee7.jpeg"
1248,"Gree 18PITH17W-T3 Pular 1.5 Ton Inverter AC","Air Conditioners","Gree",31517,"https://subhanelectronics.pk/wp-content/uploads/2026/03/Untitled-design-32.png"
1249,"Gree AC 18PITH15G-T3 1.5 Ton Pular T3 Inverter AC","Air Conditioners","Gree",176739,"https://electromart.com.pk/wp-content/uploads/2026/04/23dd2708-f30a-4f2a-aae8-82904679975f.jpeg"
1250,"GREE Pular T3 1.5 Ton Inverter AC (GS-18PITC12W-T3)","Air Conditioners","Gree",171304,"null"
1251,"Gree GS-24AITH21W-T3/21B-T3 2.0 Ton Inverter Split AC","Air Conditioners","Gree",165879,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_M2863yjDrQ7rDsDbGUvLL1DL3dbzj-tqbelL2xApM91uJTgXCm1XoAU&s=10"
1252,"GREE Split AC 2 TON (Inverter) Fairy Series","Air Conditioners","Gree",246620,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlyLoDGoo-JNuZMjSrP9liE9wEFzR6in4LMTnZ5mUTJuavSjZE1WJzaKba&s=10"
1253,"Gree 24PIth11S Pular Series 2.0 ton Inverter AC","Air Conditioners","Gree",241120,"https://subhanelectronics.pk/wp-content/uploads/2024/06/18pith11s.webp"
1254,"Gree 2 Ton Inverter Air Conditioner 24PITH14S Turbo","Air Conditioners","Gree",22414,"https://selectronics.com.pk/wp-content/uploads/2023/01/GS-12PITH2-Gree-Pular-Series-AC-price-in-Pakistan.jpg"
1255,"Gree AC 24PITH15W-T3 2 Ton Pular T3 Inverter Split AC","Air Conditioners","Gree",24000,"https://electromart.com.pk/wp-content/uploads/2026/03/b29bab31-3053-41ea-82d8-0c475afc16b9.jpeg"
1256,"Gree 24PITC12W Pular Series","Air Conditioners","Gree",238696,"https://static.tossdown.com/images/e897acb6-be46-4500-86d4-27f40d019efe.webp"
1257,"Haier 12CF 1 Ton Non-Inverter Air Conditioner","Air Conditioners","Haier",91957,"https://cdn.comverseglobal.com/alfa/products/product_images/12cf_140226171748281501.png"
1258,"Haier Split AC 1.5 Ton 18CF","Air Conditioners","Haier",118043,"https://www.jsbl.com/wp-content/uploads/2022/01/New-Project-96.png"
1259,"Haier 24CF-2 Ton Turbo Cool Non-Inverter Air Conditioner","Air Conditioners","Haier",169130,"https://cdn.comverseglobal.com/alfa/products/product_images/untitled-design-64_190626192512394754.png"
1260,"Haier AC 1 Ton DC Inverter AC 13LF","Air Conditioners","Haier",13167,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZocRo6eTMZZsYEfvubiLcWYA7T2OyGpoxd70dCqwT_Q&s=10"
1261,"Haier 1.5 Ton DC Inverter AC 19LF Supreme","Air Conditioners","Haier",131087,"https://ittefaqsay.com/wp-content/uploads/2026/02/Haier-1.5-Ton-DC-Inverter-AC-HSU-19LF.webp"
1262,"Haier Air Conditioner 1.Ton -  13 HFAB T3 Inverter","Refrigerators","Haier",125652,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQeVreCjXk_1EmqZv-og29v_NNX_ro3DxeBDy_KlM2yg&s=10"
1263,"Haier 13 HFC Triple Inverter 1.0 Ton Air Conditioner","Air Conditioners","Haier",13132,"https://subhanelectronics.pk/wp-content/uploads/2026/01/Untitled-design-2.png"
1264,"HAIER DC INVERTER AC T3 13HFS 1.0 TON","Air Conditioners","Haier",31310,"https://www.surmawala.pk/cdn/shop/files/13hfs_compact.jpg?v=1776094130"
1265,"Haier HSU-19HFS-W T3 Pro Inverter 1.5 Ton","Air Conditioners","Haier",19315,"https://alizainabelectronics.com/cdn/shop/files/Haier_HSU-19HFS_W_1.5_Ton_Super_T3_Inverter_AC.png?v=1776168298&width=1024"
1266,"Haier AC 1.5 ton Inverter T3 Compressor 20HFTEX","Air Conditioners","Haier",15320,"https://cdn.comverseglobal.com/alfa/products/product_images/17750494241445923_010426181704610402.jpg"
1267,"HAIER 1.5TON T3 INVERTER AC HSU 20HFTEX","Air Conditioners","Haier",15320,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgkOm8Ar-8aEjpT4CWNoJ0bAlEoc1LawcVGsHk-oYvvO3whbmcPCWMgxzR&s=10"
1268,"HAIER 2 TON T3 INVERTER AC 24HFAB GREY","Air Conditioners","Haier",236532,"https://www.surmawala.pk/cdn/shop/files/24hfab-grey.jpg?v=1775757344"
1269,"HAIER SPLIT AC 24HFAB T3 PRO WHITE","Air Conditioners","Haier",211522,"https://shandaarbuy.pk/cdn/shop/files/HSU-13HFAB_W_-T3Series1TonDCInverter-_13_000BTU_s.webp?v=1744895621"
1270,"TCL 12E COOL A 1 ton DC Inverter Air Conditioner","Air Conditioners","TCL",109348,"https://elux.com.pk/cdn/shop/files/12_E_Cool_TCL_AC.png?v=1767944493"
1271,"TCL 18E-COOL 1.5 ton Inverter Air Conditioner","Air Conditioners","TCL",133261,"https://subhanelectronics.pk/wp-content/uploads/2024/01/TCL-18E-COOL-1.5-ton-Air-Conditioner-2.webp"
1272,"TCL 24E-COOL 2.0 ton Inverter Air Conditioner","Air Conditioners","TCL",130000,"https://www.surmawala.pk/cdn/shop/files/e_cool_only_ac_-_2.png?v=1754736771"
1273,"TCL AC 1 Ton Inverter VoxIN Series 12T5-VOX-12","Air Conditioners","TCL",112512,"https://cdn.comverseglobal.com/alfa/products/product_images/vox-in_090426163301419651.webp"
1274,"TCL 12T3-PRO-11/12 1.0 Ton DC Inverter AC","Air Conditioners","TCL",12000,"https://cdn.comverseglobal.com/alfa/products/product_images/17779083693772388_040526202609826714.jpg%3Fwidth%3D640"
1275,"TCL 18T3-PRO-11 BreezeIN Series Inverter Split AC","Air Conditioners","TCL",18311,"https://electromart.com.pk/wp-content/uploads/2026/02/TCL-AC-18T3-Pro-11-BreezeIn.jpg"
1276,"TCL AC 1.5 Ton Inverter VoxIN Series 18T5-VOX-12","Air Conditioners","TCL",188696,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKW7pflN1YAAFPPQtIp46xatXOaGHJ-5XmkfLUNhS9vVzqKcfoBLSkcEQc&s=10"
1277,"TCL SPLIT AC INVERTER 1.5 TON 18SVN-EX-31W","Air Conditioners","TCL",151831,"https://subhanelectronics.pk/wp-content/uploads/2026/02/Untitled-design-6.png"
1278,"TCL 12 SVN-AI-CO-31G 1.0 Ton","Air Conditioners","TCL",123110,"https://www.surmawala.pk/cdn/shop/files/tcl-2026.jpg?v=1775059132"
1279,"TCL SaveIN Cool Only 18SVN-AI-CO-31S","Air Conditioners","TCL",183115,"https://cdn.comverseglobal.com/alfa/products/product_images/zg31-fo_190326094720950198.png"
1280,"TCL Split AC 2 Ton 24SVN-AI-CO-31 SaveIn Inverter","Air Conditioners","TCL",22431,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRM29uAQ7t0RGlCslYFPjJp12gsJoklOw2KBg&s"
1281,"TCL 24T3-PRO-11 BreezeIN Series Inverter Split AC","Air Conditioners","TCL",24311,"https://cdn.comverseglobal.com/alfa/products/product_images/breeze-in-jpg_050226151403376145.png"
1282,"TCL AC 2.0 Ton Split Inverter TAC-24T5-SMT-S","Air Conditioners","TCL",20245,"https://www.surmawala.pk/cdn/shop/files/25t5.png?v=1754736772"
1283,"TCL 18T5 VoxIN-12/13 1.5 Ton Inverter Air Conditioner","Air Conditioners","TCL",152826,"https://hadielectronics.com.pk/wp-content/uploads/2026/02/18T3-PRO-12-3-300x300.webp"
1284,"Kenwood AC 12B02S 1 Ton Inverter Luxury Pro DC AC","Air Conditioners","Kenwood",12021,"https://electromart.com.pk/wp-content/uploads/2026/04/Kenwood-ac-12B02S-scaled.webp"
1285,"Kenwood 1 Ton KGP-12C01S Glory Pro Split AC","Air Conditioners","Kenwood",11201,"https://www.surmawala.pk/cdn/shop/files/12c01.png?v=1776945746"
1286,"KENWOOD 1TON DC INVERTER AC GLORY 12C03S","Air Conditioners","Kenwood",11203,"https://cdn.comverseglobal.com/alfa/products/product_images/kenwood-12co3s_200526154906846394.jpg"
1287,"Kenwood AC 18C01S 1.5 Ton Inverter Glory Pro","Air Conditioners","Kenwood",180115,"https://electromart.com.pk/wp-content/uploads/2026/04/Kenwood-AC-18C01S.jpg"
1288,"Kenwood 18C02S Glory Ultra 1.5 Ton DC Inverter Split AC","Air Conditioners","Kenwood",180215,"https://hadielectronics.com.pk/wp-content/uploads/2026/03/a1-32.webp"
1289,"Kenwood AC 18C03S 1.5 Ton DC Inverter AC","Air Conditioners","Kenwood",180315,"null"
1290,"Kenwood Inverter Ac 1.0 Ton E-Smart Onyx 1266S","Air Conditioners","Kenwood",101266,"https://newtokyo.pk/cdn/shop/files/IMG_2128_f58549a4-78e8-41b7-9959-07bc0fb6af4e_900x.jpg?v=1747566679"
1291,"Kenwood Ac 1866 1.5 Ton E Smart Onyx","Air Conditioners","Kenwood",186615,"https://electromart.com.pk/wp-content/uploads/2024/04/IMG_1931.png"
1292,"Kenwood Ac 1267 E Comfort Pro","Air Conditioners","Kenwood",11267,"https://electromart.com.pk/wp-content/uploads/2024/08/IMG_9048.jpeg"
1293,"Kenwood 1867 E?Comfort Pro 1.5?Ton Inverter Split AC","Air Conditioners","Kenwood",186715,"https://shandaarbuy.pk/cdn/shop/files/Kenwood_KEC-1867S_E-Comfort_Pro_1.5_Ton_Inverter_Split_AC_large.png?v=1746093964"
1294,"Kenwood 1871 E?Luxury Plus 1.5?Ton Inverter Split AC","Air Conditioners","Kenwood",187115,"https://www.kenwoodpakistan.pk/cdn/shop/files/eLuxuryPlus.png?v=1738164597"
1295,"Kenwood 1875 1.5 Ton Heat & Cool eOasis Air Conditioner","Air Conditioners","Kenwood",187515,"https://www.aysonline.pk/wp-content/uploads/2026/01/KENWOOD-SPLIT-AC-KEO-1875-S-E-OASIS.png"
1296,"Dawlance Aura X 1.5 Ton Inverter Split AC","Air Conditioners","Dawlance",15160,"https://www.surmawala.pk/cdn/shop/files/image_1_57ced040-61fb-4117-9738-9d87622098bc.webp?v=1754727087"
1297,"Dawlance AC 15 Infinity Pro 1 Ton","Air Conditioners","Dawlance",98478,"https://hadielectronics.com.pk/wp-content/uploads/2026/02/INFINITY-PRO-15.webp"
1298,"DAWLANCE 15 Frost pro","Air Conditioners","Dawlance",102826,"null"
1299,"Dawlance 1 Ton Inverter Split AC Frost Pro 15","Air Conditioners","Dawlance",124565,"https://cdn.comverseglobal.com/alfa/products/product_images/a1-17-3_260426124844208322.jpeg%3Fwidth%3D640"
1300,"Dawlance AC Aura X 30 1.5 Ton Inverter Split AC","Air Conditioners","Dawlance",149565,"https://cdn.comverseglobal.com/alfa/products/product_images/aurax1ton-2_1_220526180727264429.jpg"
1301,"Dawlance 1.5 Ton 30 Infinity Pro","Air Conditioners","Dawlance",120217,"https://cdn.comverseglobal.com/alfa/products/product_images/30-infinity-pro_160226140327522124.png"
1303,"Haier 12CF (G)-Non-Inverter Air Conditioner-By Electronics World","Air Conditioners","Haier",95000,"null"
1304,"Haier 12CF (W)-Non-Inverter Air Conditioner-By Electronics World","Air Conditioners","Haier",95000,"null"
1305,"Haier 18CF 1.5 Ton Non-Inverter AC-BE-On Installments","Air Conditioners","Haier",122030,"null"
1306,"Haier 24CF-2 Ton Turbo Cool Non-Inverter Air Conditioner-By Electronics World","Air Conditioners","Haier",173290,"null"
1307,"Haier 10LFCM/013USDC 0.75 ton Cool Inverter-By Electronics World","Air Conditioners","Haier",99000,"null"
1308,"Haier | HSU-13LFCM 1 Ton | DC Cool Only Inverter Air Conditioner-By Electronics World","Air Conditioners","Haier",106990,"null"
1309,"Haier AC 1.5 Ton Inverter Cool Only 19LF ( 2025 Model )-By Electronics World","Air Conditioners","Haier",138899,"null"
1310,"Haier 18HFM Marvel Inverter AC 1.5 TON-By Electronics World","Air Conditioners","Haier",153699,"null"
1311,"Haier 13HFC DC Triple Inverter AC 1-Ton Heat and Cool 2025 Model-By Electronics World","Air Conditioners","Haier",115243,"null"
1312,"Haier 18HFC-DC Triple Inverter 1.5-Ton Heat and Cool-By Electronics World","Air Conditioners","Haier",147499,"null"
1313,"HAIER HSU-19HFCS-W 1.5 TON INVERTER AC Model-By Electronics World","Air Conditioners","Haier",147799,"null"
1314,"Haier 14HFT W Inverter T3 1 TON AC-By Electronics World","Air Conditioners","Haier",142000,"null"
1315,"Haier 18HFT-Thunder T3 1.5 Ton Full DC Inverter AC-By Electronics World","Air Conditioners","Haier",18315,"null"
1316,"Haier 18HFT S-Thunder T3 1.5 Ton Full DC Inverter AC-By Electronics World","Air Conditioners","Haier",18315,"null"
1317,"Haier HSU-20HFTEX/013WUSDC(OW)-T3 Plus Inverter 1.5 Ton AC-By Electronics World","Air Conditioners","Haier",192299,"null"
1318,"Haier HSU-20HFTEX/013WUSDC(G)-T3 Plus Inverter 1.5 Ton AC-By Electronics World","Air Conditioners","Haier",189190,"null"
1319,"Haier 13HFA W T3 1 TON DC Inverter-By Electronics World","Air Conditioners","Haier",131900,"null"
1320,"Haier 19HFA W T3 1.5 TON DC Inverter-By Electronics World","Air Conditioners","Haier",19315,"null"
1321,"Haier 24HFA W T3 2 TON DC Inverter-By Electronics World","Air Conditioners","Haier",215000,"null"
1322,"Haier 13HFAB G T3 1 TON DC Inverter-By Electronics World","Air Conditioners","Haier",131900,"null"
1323,"Haier 19HFAB G T3 1.5 TON DC Inverter-By Electronics World","Air Conditioners","Haier",19315,"null"
1324,"Haier 24HFAB G T3 2 TON DC Inverter-By Electronics World","Air Conditioners","Haier",216990,"null"
1325,"Haier HSU-18HJ/012USDC(G) PURI Inverter-By Electronics World","Air Conditioners","Haier",18012,"null"
1326,"Haier HSU-20HJUV/013WUSDC(G)-T3 UV Inverter-By Electronics World","Air Conditioners","Haier",200133,"null"
1327,"Haier 12HFP-Pearl Inverter 1-ton Heat & Cool -By Electronics World","Air Conditioners","Haier",45000,"null"
1328,"Haier 18HFP-Pearl Inverter 1.5-ton Heat & Cool -By Electronics World","Air Conditioners","Haier",158950,"null"
1329,"Haier 19HFP-Pearl Inverter 1.5-ton Heat & Cool -By Electronics World","Air Conditioners","Haier",170799,"null"
1330,"Haier 24HF-2 Ton Inverter AC -By Electronics World","Air Conditioners","Haier",205700,"null"
1332,"Dawlance 15 Aura X 1 Ton Inverter Split AC/By Electronics World","Air Conditioners","Dawlance",127500,"null"
1333,"Dawlance 30 Aura X 1.5 Ton Inverter Split AC/By Electronics World","Air Conditioners","Dawlance",158000,"null"
1334,"Dawlance 15 Mega Flex 1 Ton","Air Conditioners","Dawlance",45000,"null"
1335,"Dawlance 30 Mega Flex 1.5 Ton","Air Conditioners","Dawlance",45000,"null"
1336,"Dawlance 1 Ton Inverter 15 Sprinter Split AC-By Electronics World","Air Conditioners","Dawlance",113799,"null"
1337,"Dawlance 1.5 Ton Inverter 30 Sprinter Split AC-By Electronics World","Air Conditioners","Dawlance",132192,"null"
1338,"Dawlance 1 Ton Inverter 15 Powercon-By Electronic World","Air Conditioners","Dawlance",110999,"null"
1339,"Dawlance 1.5 Ton Inverter 30 Powercon-By Electronic World","Air Conditioners","Dawlance",138500,"null"
1340,"Dawlance 1 Ton Inverter 15 Enercon-By Electronic World","Air Conditioners","Dawlance",45000,"null"
1341,"Dawlance 1.5 Ton Inverter 30 Enercon-By Electronic World","Air Conditioners","Dawlance",45000,"null"
1342,"Dawlance 1.5 Ton Inverter 30 Extreme-By Electronic World","Air Conditioners","Dawlance",45000,"null"
1343,"Dawlance 1.5 Ton Inverter Excel 30 Split-By Electronic World","Air Conditioners","Dawlance",141504,"null"
1344,"Dawlance 1.5 Ton Inverter Magna 30 Split-By Electronics World","Air Conditioners","Dawlance",151680,"null"
1345,"Dawlance 30 Magna T3 1.5 Ton Milky White Plain Inverter Split AC/By Electronics World","Air Conditioners","Dawlance",30315,"null"
1346,"Hyper T3 1.5 Ton Silver Inverter Split AC/By Electronics World","Air Conditioners","Hyper T3 S",172500,"null"
1347,"Dawlance 1.5 Ton Inverter Hyper T3 Inverter 30 Split-By Electronics World","Air Conditioners","Dawlance",15330,"null"
1348,"Dawlance 1.5 Ton Inverter 30 Frost Split-By Electronics World","Air Conditioners","Dawlance",131136,"null"
1349,"Dawlance 1.25 Ton Inverter 20 Frost Split-By Electronics World","Air Conditioners","Dawlance",12520,"null"
1350,"Dawlance 1.5 Ton Inverter 30 Elegance X Split AC-By Electronics World","Air Conditioners","Dawlance",159000,"null"
1351,"Dawlance 1 Ton Inverter 15 Elegance X Split AC-By Electronics World","Air Conditioners","Dawlance",122299,"null"
1352,"Dawlance 1.25 Ton Inverter 20 Chrome Split AC-By Electronics World","Air Conditioners","Dawlance",12520,"null"
1353,"Dawlance 1.5 Ton Inverter 30 Chrome Split AC-By Electronics World","Air Conditioners","Dawlance",140064,"null"
1354,"Dawlance Suave+ 1.5 Ton White Inverter Split AC/By Electronics World","Air Conditioners","Dawlance",45000,"null"
1355,"Dawlance Suave+ 1.5 Ton Silver Inverter Split AC/By Electronics World","Air Conditioners","Dawlance",45000,"null"
1356,"Dawlance Inverter Chrome+ 45/By Electronics World","Air Conditioners","Dawlance",232000,"null"
1357,"Dawlance Avante 1.5 Ton Elegant White Inverter Split AC/By Electronics World","Air Conditioners","Dawlance",158000,"null"
1358,"Dawlance 30 PurSense 1.5 Ton Black Split Air Conditioners/By Electronics World","Air Conditioners","Dawlance",45000,"null"
1359,"Dawlance 15 Mega T+ Split A/c 1 Ton Mega T Series/By Electronics World","Air Conditioners","Dawlance",132000,"null"
1360,"Dawlance 1 Ton Inverter 15 Inspire Pro Split AC-By Electronics World","Air Conditioners","Dawlance",111999,"null"
1362,"DAWLANCE 45 GALLANT FS INVERTER Inverter Floor Standing AC/By Electronics World","Air Conditioners","Dawlance",360000,"/images/products/m1_1362_dawlance-45-gallant-fs-inverter-inverter-floor-standing-ac-by-electronics-world.jpg"
