HWM-120 1978," 131,000 "," 132,000 ",,,,SA 572," 19,900 "," 20,400 ",,,
HWM 150-826," 89,000 "," 90,000 ",,,,Orient Washing Machine,,,,,
HWM 150-1708," 97,000 "," 98,000 ",,,,Item,  Net  ,ADD 1000,,,
HWM-150-1789," 93,000 "," 94,000 ",,,,Twister 1150," 70,000 "," 71,000 ",,,
HWM 150-B1678 ES8," 108,000 "," 109,000 ",,,,Twister 1350," 88,000 "," 89,000 ",,,
HWM 150-1678 ES8," 102,000 "," 103,000 ",,,,Royal Washing Machine,,,,,
HWM 150-1978," 153,500 "," 154,500 ",,,,Model, Net ,ADD 500,,,
Front Load Washing Machine,,,,,,RWM-8010 ," 31,100 "," 31,600 ",,,
HW-80 BP12929 S3," 135,000 "," 136,000 ",,,,RWM-8012 ," 32,100 "," 32,600 ",,,
HW 80-BP 12929 S6," 135,000 "," 136,000 ",,,,RWM-1010 SB ," 21,600 "," 22,100 ",,,
HW-90 BP 14959 S8," 148,500 "," 149,500 ",,,,RWM-1012 FB ," 21,600 "," 22,100 ",,,
HW 100-BP14929 S3," 162,000 "," 163,000 ",,,,RWM-1014 ST ," 22,600 "," 23,100 ",,,
HWD-105 149 With dryer," 213,000 "," 214,000 ",,,,RWM-1016 FT ," 22,600 "," 23,100 ",,,
HW-105-B 14959 S8,,,,,,RD-110 Dryer ," 21,600 "," 22,100 ",,,
HWD-105 149 With dryer,,,,,,RD-112 T Dryer ," 22,600 "," 23,100 ",,,
,,,,,,,,,,,
,,,,,,,,,,,
