MODEL IN LIST,ALFA PRODUCT UPLOADED,LIST PRICE,PROFIT - DC,ALFA 10%,FINAL ,LOWEST C-O YASIN,,MODEL IN LIST NOT AT ALFA,LIST PRICE,,LOWEST,Elec. World,DIFF,CHANGED TO LOWEST,,,
HWM 90-1708 ,HAIER HWM 90-1708 Automatic Top Load 9 Kg-By Electronics World," 64,000 "," 70,000 "," 75,269 "," 75,000 "," 73,400 ", Image Issue ,100-316 S6," 59,500 ",,75799," 78,000 "," (2,201)",,,,
HWM 90-826,Haier HWM 90-826 90-826-9 kg Fully Auto Washing Machine-By Electronics World," 53,000 "," 59,000 "," 63,441 "," 63,500 "," 61,000 ", Image Issue ,120-316 S6," 80,000 ",,73500," 73,500 ", -   ,,,,
HWM 100-826,100-826," 55,000 "," 61,000 "," 65,591 "," 65,500 "," 63,290 ", Image Issue ,150-316 S6," 83,500 ",,74900," 72,000 "," 2,900 ",,,,
HWM 90-1789,Haier HWM 90-1789-9kg Fully Automatic Top Loading Washing Machine-By Electronics World," 63,000 "," 69,000 "," 74,194 "," 74,000 "," 72,430 ", Image Issue ,HWD-105 B14959 S8 UI," 215,000 ",,76500," 76,500 ", -   ,,,,
HWM 95-1678 ES8/JT,Haier HWM 95-1678 ES8/JT-9.5 Kg Top Load Automatic Washing Machine-By Electronics World," 64,500 "," 70,500 "," 75,806 "," 75,800 "," 78,990 ", Image Issue ,,,,82000," 83,500 "," (1,500)",,,,
HWM 100-1678 E,100-1678 E,," 6,000 "," 6,452 ",, -   ,,,,,91599," 85,000 "," 6,599 ",,,,
HWM-120-826 E,Haier HWM-120-826 E-12 kg Fully Auto Washing Machine-By Electronics World," 60,500 "," 66,500 "," 71,505 "," 71,500 "," 71,500 ", Image Issue ,,,,86699," 88,500 "," (1,801)",,,,
HWM-120-826 B,Haier HWM-120-826 B-Top-Load 12kg Automatic Washing-By Electronics World," 65,500 "," 71,500 "," 76,882 "," 76,800 "," 76,800 ", Image Issue ,,,,89000," 89,000 ", -   ,,,,
HWM 120-1789,Haier HWM 120-1789-Top load Washing Machine 12 KG -By Electronics World," 88,000 "," 94,000 "," 101,075 "," 101,000 "," 100,350 ", Image Issue ,,,,103800," 104,500 ", (700),,,,
HWM 120-1678 ES8,Haier HWM 120-1678-Washing Machine 12Kgs Top Loading -By Electronics World," 72,500 "," 78,500 "," 84,409 "," 84,500 "," 84,500 ", Image Issue ,,,,99100," 104,500 "," (5,400)",,,,
HWM 120-1678 ES9,HWM 120-1678 ES9," 74,000 "," 80,000 "," 86,022 "," 86,000 ", -   ,,,,,113499," 95,500 "," 17,999 ",,,,
HWM-120 1978,Haier HWM-120 1978-Top Load Automatic Washing Machine-By Electronics World," 123,500 "," 129,500 "," 139,247 "," 139,300 "," 139,300 ", Image Issue ,,,,145000," 144,000 "," 1,000 ",,,,
HWM 150-1708,Haier HWM 150-1708-15Kg Top Load Fully Automatic Washing Machine-By Electronics World," 86,500 "," 92,500 "," 99,462 "," 99,500 "," 98,680 ", Image Issue ,,,,103000," 103,000 ", -   ,,,,
HWM 150-B1678 ES8,Haier HWM 150-B1678 ES8-15 KG Top Load Automatic Washing Machine -By Electronics World," 91,000 "," 97,000 "," 104,301 "," 104,300 "," 104,300 ", Image Issue ,,,,115500," 115,500 ", -   ,,,,
HWM 150-1978,Haier HWM 150-1978-15 KG Top Load Fully Automatic Washing Machine-By Electronics World," 141,000 "," 147,000 "," 158,065 "," 158,000 "," 158,000 ", Image Issue ,,,,170000," 170,000 ", -   ,,,,
HW-80 BP12929 S3,Haier HW-80 BP12929 S3-8kg Front Load Washing Machine-By Electronics World," 125,000 "," 131,000 "," 140,860 "," 140,800 "," 140,800 ", Image Issue ,,,,149000," 160,000 "," (11,000)",,,,
HW-80 BP12929 S6,Haier HW 80-BP 12929 S6- Front Load Washing Machine-By Electronics World," 125,000 "," 131,000 "," 140,860 "," 140,860 "," 140,860 ", Image Issue ,,,,154899," 160,000 "," (5,101)",,,,
HW-90 BP 14959 S8,Haier HW-90 BP 14959 S8-Automatic Front Load-By Electronics World," 137,000 "," 143,000 "," 153,763 "," 153,800 "," 153,800 ", Image Issue ,,,,167999," 176,500 "," (8,501)",,,,
HW-90 BP 14959 S6,HW-90 BP 14959 S6,," 6,000 "," 6,452 ",, -   ,,,,,0," 190,000 "," (190,000)",,,,
HW 100-BP14929 S3,Haier HW 100-BP14929 S3-Front Load Fully Automatic-By Electronics World," 145,000 "," 151,000 "," 162,366 "," 162,500 "," 162,500 ", Image Issue ,,,,186799," 193,500 "," (6,701)",,,,
HW-120-BP14929 S6,HW-120-BP14929 S6," 155,000 "," 161,000 "," 173,118 "," 173,000 "," 173,000 ",,,,,191200," 212,000 "," (20,800)",,,,
HW-105 B14959 S8 UI,HW-105 B14959 S8 UI," 165,000 "," 171,000 "," 183,871 "," 183,800 "," 183,800 ",,,,,213299," 221,000 "," (7,701)",,,,
ORIENT,,,,,, -   ,,,,,,, -   ,,,,
Twister 1350,Orient Twister 1350 12 Kg Metallic Grey Washing Machine-By Electronics World," 88,000 "," 94,000 "," 101,075 "," 101,000 "," 101,000 ", Image Issue ,,,,95000," 84,500 "," 10,500 ",,,,
Twister 1150,Orient Twister 1150 10 Kg Metallic Grey Washing Machine-By Electronics World," 70,000 "," 76,000 "," 81,720 "," 81,800 "," 81,600 ", Image Issue ,,,,75000," 104,500 "," (29,500)",,,,
 PEL ,,,,,, -   ,,,,,,, -   ,,,,
PWMS-8050,PEL PWMS-8050-By Electronics World," 22,000 "," 28,000 "," 30,108 "," 30,000 "," 28,499 ", Image Issue ,,,,26399," 30,000 "," (3,601)",,,,
PWMS-1250,PEL PWMS-1250-By Electronics World," 25,200 "," 31,200 "," 33,548 "," 33,500 "," 30,899 ", Image Issue ,,,,30900," 34,500 "," (3,600)",,,,
PWMS-1050,PEL PWMS-1050-By Electronics World," 34,500 "," 40,500 "," 43,548 "," 43,500 "," 42,499 ", Image Issue ,,,,42500," 45,000 "," (2,500)",,,,
PAWM 900,PEL PAWM 900-By Electronics World," 57,000 "," 63,000 "," 67,742 "," 67,800 "," 67,800 ", Image Issue ,,,,72500," 79,000 "," (6,500)",,,,
PAWM 900i,PEL PAWM 900i-By Electronincs World," 62,000 "," 68,000 "," 73,118 "," 73,000 "," 73,000 ", Image Issue ,,,,77500," 84,000 "," (6,500)",,,,
PAWM 1100,PEL PAWM 1100-By Electronics World," 71,000 "," 77,000 "," 82,796 "," 82,800 "," 82,800 ", Image Issue ,,,,84900," 92,000 "," (7,100)",,,,
PAWM 1100i,PEL PAWM 1100i-By Electronics World," 75,000 "," 81,000 "," 87,097 "," 87,000 "," 87,000 ", Image Issue ,,,,88900," 96,500 "," (7,600)",,,,
SUPERASIA,,,,,, -   ,,,,,,, -   ,,,,
SA 110,SuperAsia SA 110-By Electronics World," 9,000 "," 15,000 "," 16,129 "," 16,000 "," 10,498 ", Image Issue ,15000,,,10615," 16,000 "," (5,385)",15000,,,
SA 111,SuperAsia SA 111-By Electronics World," 19,200 "," 25,200 "," 27,097 "," 27,000 "," 22,500 ", Image Issue ,,,,25699," 27,000 "," (1,301)",26000,,,
SA 210,SuperAsia SA 210-By Electronics World," 12,500 "," 18,500 "," 19,892 "," 19,800 "," 15,435 ", Image Issue ,19000,,,15440," 19,500 "," (4,060)",18500,,,
SA 240 Shower wash,SuperAsia SA 240 Shower wash-By Electronics World, -   ," 6,000 "," 6,452 ", -   , -   ,,,,,28380," 31,000 "," (2,620)",30000,,,
SA 255,SuperAsia SA 255-By Electronics World," 19,200 "," 25,200 "," 27,097 "," 27,000 "," 23,499 ", Image Issue ,,,,25699," 27,000 "," (1,301)",26000,,,
SA 260,SuperAsia SA 260-By Electronics World," 19,700 "," 25,700 "," 27,634 "," 27,500 "," 27,500 ", Image Issue ,,,,26099," 28,000 "," (1,901)",27000,,,
SA 270,SuperAsia SA 270-By Electronics World, -   ," 6,000 "," 6,452 ", -   , -   ,,,,,24850," 28,500 "," (3,650)",27500,,,
SA 272,SuperAsia SA 272-By Electronics World," 20,500 "," 26,500 "," 28,495 "," 28,500 "," 24,670 ", Image Issue ,,,,24860," 28,000 "," (3,140)",27000,,,
SA 280,SuperAsia SA-280 Grand Wash-By Electronics World, -   ," 6,000 "," 6,452 ", -   , -   ,,,,,42199," 44,000 "," (1,801)",43000,,,
SA 290,SuperAsia SA 290-By Electronics World, -   ," 6,000 "," 6,452 ", -   , -   ,,,,,33599," 34,500 ", (901),33500,,,
SA 241,SuperAsia SA 241 Smart Wash-By Electronics World," 29,000 "," 35,000 "," 37,634 "," 37,500 "," 32,735 ", Image Issue ,,,,35099," 36,000 ", (901),35000,,,
SA 242,SuperAsia SA-242 Clean Wash-By Electronics World, -   ," 6,000 "," 6,452 ", -   , -   ,,,,,34400," 40,000 "," (5,600)",39000,,,
SA 244,SuperAsia SA-244 Super Style-By Electronics World," 32,500 "," 38,500 "," 41,398 "," 41,500 "," 36,190 ", Image Issue ,,,,34500," 40,000 "," (5,500)",39000,,,
SA 245,SuperAsia SA-245 Easy Wash-By Electronics World, -   ," 6,000 "," 6,452 ", -   , -   ,,,,,35000," 40,500 "," (5,500)",39500,,,
SA-518,SuperAsia SA-518-By Electronics World," 16,700 "," 22,700 "," 24,409 "," 24,500 "," 20,998 ", Image Issue ,,,,21899," 24,500 "," (2,601)",23500,,,
SD-525,SuperAsia SD-525-By electronics World, -   ," 6,000 "," 6,452 ", -   , -   ,,,,,19800," 24,000 "," (4,200)",23000,,,
SA-540,SuperAsia SD-540-By Electronics World, -   ," 6,000 "," 6,452 ", -   , -   ,,,,,26599," 31,500 "," (4,901)",30500,,,
SA 550,SuperAsia 7kg Dryer Steel SA-550-By Electronics World, -   ," 6,000 "," 6,452 ", -   , -   ,,,,,24999," 27,000 "," (2,001)",26000,,,
SA 555,SuperAsia SA 555-By Electronics World, -   ," 6,000 "," 6,452 ", -   , -   ,,,,,29000," 29,000 ", -   ,0,,,
 ROYAL ,,,,,, -   ,,,,,,, -   ,0,,,
RWM-1010 SB,Royal Washing Machine RW-1010 FT-By Electronics World," 21,000 "," 27,000 "," 29,032 "," 29,000 "," 25,799 ",,,,,29570," 30,000 ", (430),29500,,,
RWM-1012 FB,Royal Washing Machine 1012 FB Single-By Electronics World," 21,000 "," 27,000 "," 29,032 "," 29,000 "," 25,799 ",,,,,28399," 30,000 "," (1,601)",28380,,,
RWM-1014 ST,Royal Washing Machine RW-1014 ST-By Electronics World," 22,000 "," 28,000 "," 30,108 "," 30,000 "," 26,799 ",,,,,29699," 31,000 "," (1,301)",29680,,,
RWM-1016 FT,Royal 10 KG Single Tub Washer RW-1016FT Semi Automatic-By Electronics World," 22,000 "," 28,000 "," 30,108 "," 30,000 "," 26,799 ",,,,,30740," 31,000 ", (260),30500,,,
RWM-8090,8090," 18,000 "," 24,000 "," 25,806 "," 25,800 "," 21,998 ",,,,,0," 26,500 "," (26,500)",0,,,
RWM-8092,8092," 18,000 "," 24,000 "," 25,806 "," 25,800 "," 21,998 ",,,,,24299," 26,500 "," (2,201)",25000,,,
RWM-8094,8094," 18,500 "," 24,500 "," 26,344 "," 26,300 "," 22,199 ",,,,,0," 27,000 "," (27,000)",0,,,
RWM-9096,9096," 18,500 "," 24,500 "," 26,344 "," 26,300 "," 22,199 ",,,,,0," 27,000 "," (27,000)",0,,,
RD-110 Dryer ,Royal RD-110 Spin Dryer-By Electronics World," 20,500 "," 26,500 "," 28,495 "," 28,500 "," 26,399 ",,,,,27699," 29,500 "," (1,801)",27680,,,
RD-112 T Dryer ,Royal Spinner Machine RD-112T-By Electronics World," 21,500 "," 27,500 "," 29,570 "," 29,500 "," 26,299 ",,,,,29099," 30,500 "," (1,401)",29080,,,
RWM-8010 ,Royal RWM-8010 Washing Machine-By Electronics World," 30,500 "," 36,500 "," 39,247 "," 39,200 "," 34,750 ",,,,,39699," 40,500 ", (801),39650,,,
RWM-8012 ,Royal RWM-8012  Washing Machine 8.5KG-By Electronics World," 31,500 "," 37,500 "," 40,323 "," 40,300 "," 36,299 ",,,,,40999," 41,500 ", (501),40900,,,
KENWOOD,,,,,, -   ,,,,,,, -   ,,,,
 KWM-1012 ,Kenwood 10KG Twin Tub Washing Machine KWM-1012-By Electronics World," 32,500 "," 38,500 "," 41,398 "," 41,400 "," 41,400 ",,,,,42299," 43,000 ", (701),42000,,,
KWM-950,Kenwood 9KG Twin Tub Washing Machine KWM-950 SA-By Electronics World," 28,500 "," 34,500 "," 37,097 "," 37,000 "," 37,000 ",,,,,39500," 38,500 "," 1,000 ",0,,,
 KWM-21059 ,Kenwood 21059 Twin Tub Washing Machine (10 kg)-By Electronics World," 29,500 "," 35,500 "," 38,172 "," 38,000 "," 36,899 ",,,,,38399," 39,500 "," (1,101)",38350,,,
 KWM-211059 ,Kenwood KWM 211059 SAG 10KG-By electronics World," 28,500 "," 34,500 "," 37,097 "," 37,000 "," 35,498 ",,,,,37099," 38,500 "," (1,401)",37050,,,
 KWM-21159 ,Kenwood 21159 Twin Tub Washing Machine (11 KG)-By Electronics World," 32,000 "," 38,000 "," 40,860 "," 40,800 "," 39,899 ",,,,,43699," 42,000 "," 1,699 ",0,,,
 KWM-231159 ,Kenwood KWM 231159 Twin Tub Washing Machine SAG 11 KG-By Electronics World," 32,000 "," 38,000 "," 40,860 "," 40,800 "," 40,800 ",,,,,41599," 42,000 ", (401),41550,,,
 KWM-899 WASHER ,Kenwood KWM-899 Single Tub Grey Washer 8 KG Washing Machine-By Electronics World," 18,500 "," 24,500 "," 26,344 "," 26,350 "," 24,480 ",,,,,23500," 28,000 "," (4,500)",26500,,,
 KWS- 1050 SPINNER ,Kenwood KWS-1050 Single Tub Spiner 10 Kg Spin Dryer-By Electronics World," 18,500 "," 24,500 "," 26,344 "," 26,350 "," 24,999 ",,,,,24999," 27,000 "," (2,001)",26000,,,
HOMAGE,,,,,, -   ,,,,,,, -   ,,,,
 HWM-49112 GD ,Homage HW-49112  Washing Machine Glass Top 11 KG-By Electronics World," 31,000 "," 37,000 "," 39,785 "," 39,800 "," 38,495 ",,,,,38400," 41,000 "," (2,600)",40000,,,
 HWM-49112 P ,Homage HW-49112 SAP Washing Machine 11KG Twin Tub -By Electronics World," 30,000 "," 36,000 "," 38,710 "," 38,700 "," 38,700 ",,,,,37100," 40,000 "," (2,900)",39000,,,
 HWM-49102 P ,Homage HW-49102SAP Semi-Automatic Washing Machine SPARKLE Series-By Electronics World," 26,000 "," 32,000 "," 34,409 "," 34,400 "," 34,400 ",,,,,32700," 35,500 "," (2,800)",34500,,,
 HWM-49102 GD ,Homage HW-49102 Semi-Automatic Glass Door Washing Machine-By Electronics World," 27,500 "," 33,500 "," 36,022 "," 36,000 "," 36,000 ",,,,,34000," 37,000 "," (3,000)",36000,,,
 HWM-4991 ,Homage HW-4991WP Single Tub Washer-By Electronics World," 17,700 "," 23,700 "," 25,484 "," 25,500 "," 25,500 ",,,,,24299," 36,500 "," (12,201)",25000,,,
 HWM-49101Spinner ,Homage HW-49101SP Spin Dryer-By Electronics World," 17,500 "," 23,500 "," 25,269 "," 25,250 "," 23,499 ",,,,,23699," 26,000 "," (2,301)",23500,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
