MODEL IN LIST,ALFA PRODUCT UPLOADED,LIST PRICE,PROFIT - DC,ALFA 13%,FINAL,MODEL IN LIST NOT AT ALFA,LOWEST,,,EW,LOWEST,Lowest - 10%,EW-10%,,,
13 HFAB Grey,Haier 13HFAB G T3 1 TON DC Inverter-By Electronics World," 118,000 "," 124,000 "," 133,333 "," 133,500 ",OK,131900," 4,667 ",13 HFAB Grey," 143,500 ",139499," 7,549 "," 11,150 ",,,
19 HFAB Grey,Haier 19HFAB G T3 1.5 TON DC Inverter-By Electronics World," 154,000 "," 160,000 "," 172,043 "," 172,000 ",OK,169950," 4,054 ",19 HFAB Grey," 178,000 ",174899," 3,409 "," 6,200 ",,,
24 HFAB GREY,Haier 24HFAB G T3 2 TON DC Inverter-By Electronics World," 198,500 "," 204,500 "," 219,892 "," 220,000 ",OK,216990," 3,301 ",24 HFAB GREY," 229,000 ",228999," 7,599 "," 7,600 ",,,
18 HJ  ,Haier HSU-18HJ/012USDC(G) PURI Inverter-By Electronics World," 205,000 "," 211,000 "," 226,882 "," 227,000 ",NEW-NOT UPLOADED,,,18 HJ  ," 233,000 ",233799," 5,419 "," 4,700 ",,,
18 HJ UV,Haier HSU-20HJUV/013WUSDC(G)-T3 UV Inverter-By Electronics World," 181,000 "," 187,000 "," 201,075 "," 201,000 ",NEW-NOT UPLOADED,,,18 HJ UV," 211,000 ",211799," 9,619 "," 8,900 ",,,
NO,Haier 12HFP-Pearl Inverter 1-ton Heat & Cool -By Electronics World, -   , -   , -   ,,NO,,,,,, -   , -  ,,,
NO,Haier 12HFP-Pearl Inverter 1-ton Heat & Cool -By Electronics World, -   , -   , -   ,,NO,,,,,, -   , -  ,,,
NO,Haier 12HFP-Pearl Inverter 1-ton Heat & Cool -By Electronics World, -   , -   , -   ,,NO,,,,,, -   , -  ,,,
18 HFP,Haier 18HFP-Pearl Inverter 1.5-ton Heat & Cool -By Electronics World," 144,000 "," 150,000 "," 161,290 "," 161,000 ",OK,158950," 3,824 ",18 HFP," 166,500 ",162499," 2,249 "," 5,850 ",,,
18 HFP,Haier 18HFP-Pearl Inverter 1.5-ton Heat & Cool -By Electronics World," 144,000 "," 150,000 "," 161,290 "," 161,000 ",OK,158950," 3,824 ",18 HFP," 166,500 ",162499," 2,249 "," 5,850 ",,,
19 HFP,Haier 19HFP-Pearl Inverter 1.5-ton Heat & Cool -By Electronics World," 145,000 "," 151,000 "," 162,366 "," 162,500 ",NEW-NOT UPLOADED,,,19 HFP," 169,000 ",170799," 8,719 "," 7,100 ",,,
24 HF,Haier 24HF-2 Ton Inverter AC -By Electronics World," 187,000 "," 193,000 "," 207,527 "," 207,500 ",OK,205700," 4,301 ",24 HF," 216,500 ",214300," 5,870 "," 7,850 ",,,
DAWLANCE,,,,,,,,,,,,,,,,
15 Aura,Dawlance 15 Aura X 1 Ton Inverter Split AC/By Electronics World," 112,500 "," 118,500 "," 127,419 ",127500,OK,122199," 1,145 ",15 Aura,127000,126799," 1,619 "," 1,800 ",,,
30 Aura,Dawlance 30 Aura X 1.5 Ton Inverter Split AC/By Electronics World," 141,000 "," 147,000 "," 158,065 ",158000,OK,154899," 3,056 ",30 Aura,169000,168699," 10,829 "," 11,100 ",,,
15 Mega Flex,"Dawlance 15 Mega Flex 1 Ton
Inverter Split AC/By Electronics World"," 114,000 "," 120,000 "," 129,032 ",129000,OK,120768," (1,686)",15 Mega Flex,135500,133699," 6,329 "," 7,950 ",,,
30 Mega Flex,"Dawlance 30 Mega Flex 1.5 Ton
Inverter Split AC/By Electronics World"," 151,000 "," 157,000 "," 168,817 ",169000,OK,159552," (2,617)",30 Mega Flex,178500,176399," 7,759 "," 9,650 ",,,
15 Sprinter,Dawlance 1 Ton Inverter 15 Sprinter Split AC-By Electronics World," 101,000 "," 107,000 "," 115,054 "," 115,000 ",OK,113799," 4,833 ",15 Sprinter," 120,000 ",117000," 4,300 "," 7,000 ",,,
30 Sprinter,Dawlance 1.5 Ton Inverter 30 Sprinter Split AC-By Electronics World," 124,500 "," 130,500 "," 140,323 "," 140,500 ",OK,132192," (1,561)",30 Sprinter," 145,500 ",140999," 2,399 "," 6,450 ",,,
15 Powercon,Dawlance 1 Ton Inverter 15 Powercon-By Electronic World," 101,000 "," 107,000 "," 115,054 "," 115,000 ",OK,110999," 2,229 ",15 Powercon," 120,000 ",117999," 5,199 "," 7,000 ",,,
30 Powercon,Dawlance 1.5 Ton Inverter 30 Powercon-By Electronic World," 124,500 "," 130,500 "," 140,323 "," 140,500 ",OK,138500," 4,305 ",30 Powercon," 145,500 ",145500," 6,450 "," 6,450 ",,,
15 Enercon,Dawlance 1 Ton Inverter 15 Enercon-By Electronic World, -   , -   , -   ,,DISABLE NOT IN LIST,, -   ,15 Enercon, -   ,, -   , -  ,,,
30 Enercon,Dawlance 1.5 Ton Inverter 30 Enercon-By Electronic World, -   , -   , -   ,,DISABLE NOT IN LIST,, -   ,30 Enercon, -   ,, -   , -  ,,,
30 Extreme,Dawlance 1.5 Ton Inverter 30 Extreme-By Electronic World, -   ,, -   ,,DISABLE NOT IN LIST,,,30 Extreme,,, -   , -  ,,,
30 Excel,Dawlance 1.5 Ton Inverter Excel 30 Split-By Electronic World," 133,500 "," 139,500 "," 150,000 "," 150,000 ",OK,141504," (1,901)",30 Excel," 156,500 ",154699," 5,729 "," 7,350 ",,,
30 Magna,Dawlance 1.5 Ton Inverter Magna 30 Split-By Electronics World," 143,000 "," 149,000 "," 160,215 "," 160,000 ",OK,151680," (1,938)",30 Magna," 171,500 ",168999," 9,099 "," 11,350 ",,,
30 Magna T3,Dawlance 30 Magna T3 1.5 Ton Milky White Plain Inverter Split AC/By Electronics World," 154,000 "," 160,000 "," 172,043 "," 172,000 ",OK,153599," (11,153)",30 Magna T3," 183,500 ",," (154,000)"," 11,150 ",,,
Hyper T3 S,Hyper T3 1.5 Ton Silver Inverter Split AC/By Electronics World," 155,000 "," 161,000 "," 173,118 "," 173,000 ",OK,172500," 5,425 ",Hyper T3 S," 184,000 ",," (155,000)"," 10,600 ",,,
Hyper T3 W,Dawlance 1.5 Ton Inverter Hyper T3 Inverter 30 Split-By Electronics World," 153,000 "," 159,000 "," 170,968 "," 171,000 ",OK,170500," 5,565 ",Hyper T3 W," 181,000 ",," (153,000)"," 9,900 ",,,
30 Frost       ,Dawlance 1.5 Ton Inverter 30 Frost Split-By Electronics World," 123,000 "," 129,000 "," 138,710 "," 139,000 ",OK,131136," (1,044)",30 Frost       ," 144,500 ",," (123,000)"," 7,050 ",,,
20 Frost       ,Dawlance 1.25 Ton Inverter 20 Frost Split-By Electronics World," 102,000 "," 108,000 "," 116,129 "," 116,000 ",OK,112099," 2,252 ",20 Frost       ," 122,000 ",," (102,000)"," 7,800 ",,,
30 Elegance X ,Dawlance 1.5 Ton Inverter 30 Elegance X Split AC-By Electronics World," 142,000 "," 148,000 "," 159,140 "," 159,000 ",OK,159000," 5,870 ",30 Elegance X ," 170,500 ",," (142,000)"," 11,450 ",,,
15 Elegance X ,Dawlance 1 Ton Inverter 15 Elegance X Split AC-By Electronics World," 109,500 "," 115,500 "," 124,194 "," 124,000 ",OK,122299," 4,238 ",15 Elegance X ," 131,000 ",," (109,500)"," 8,400 ",,,
20 Chrome,Dawlance 1.25 Ton Inverter 20 Chrome Split AC-By Electronics World," 110,000 "," 116,000 "," 124,731 "," 125,000 ",image issue DISABLE STOCK,124000," 5,320 ",20 Chrome," 129,000 ",," (110,000)"," 6,100 ",,,
30 Chrome,Dawlance 1.5 Ton Inverter 30 Chrome Split AC-By Electronics World," 130,000 "," 136,000 "," 146,237 "," 146,000 ",image issue,140064, 260 ,30 Chrome," 154,500 ",," (130,000)"," 9,050 ",,,
30 Suave+ (White),Dawlance Suave+ 1.5 Ton White Inverter Split AC/By Electronics World," 127,000 "," 133,000 "," 143,011 "," 143,000 ",NEW-NOT UPLOADED,,,30 Suave+ (White)," 151,500 ",," (127,000)"," 9,350 ",,,
30 Suave+ (Silver),Dawlance Suave+ 1.5 Ton Silver Inverter Split AC/By Electronics World," 129,000 "," 135,000 "," 145,161 "," 145,000 ",NEW-NOT UPLOADED,,,30 Suave+ (Silver)," 154,000 ",," (129,000)"," 9,600 ",,,
Chrome + 45 ,Dawlance Inverter Chrome+ 45/By Electronics World," 210,000 "," 216,000 "," 232,258 "," 232,000 ",ok,232000," 5,760 ",Chrome + 45 ," 248,000 ",," (210,000)"," 13,200 ",,,
30 Avante White ,Dawlance Avante 1.5 Ton Elegant White Inverter Split AC/By Electronics World," 141,000 "," 147,000 "," 158,065 "," 158,000 ",ok,158000," 5,940 ",30 Avante White ," 163,500 ",," (141,000)"," 6,150 ",,,
30 Prima PurSense ,Dawlance 30 PurSense 1.5 Ton Black Split Air Conditioners/By Electronics World," 180,000 "," 186,000 "," 200,000 "," 200,000 ",NEW-NOT UPLOADED,,,30 Prima PurSense ," 215,000 ",," (180,000)"," 13,500 ",,,
15 Mega T+,Dawlance 15 Mega T+ Split A/c 1 Ton Mega T Series/By Electronics World," 116,500 "," 122,500 "," 131,720 "," 132,000 ",OK,132000," 6,260 ",15 Mega T+," 140,000 ",," (116,500)"," 9,500 ",,,
15 Inspire,Dawlance 1 Ton Inverter 15 Inspire Pro Split AC-By Electronics World," 102,000 "," 108,000 "," 116,129 "," 116,000 ",OK,111999," 2,159 ",15 Inspire," 123,500 ",," (102,000)"," 9,150 ",,,
DAWLANCE FLOOR,,,,,,,,,,,,,,,,
45 Gallant ,DAWLANCE 45 GALLANT FS INVERTER Inverter Floor Standing AC/By Electronics World," 320,000 "," 336,000 "," 361,290 "," 361,000 ",OK,360000," 14,800 ",,,,,,,,
45 Glamour,GLAMOUR 45 INVERTER FS Inverter Floor Standing AC/By Electronics World," 312,000 "," 328,000 "," 352,688 "," 352,500 ",OK,352500," 15,825 ",,,,,,,,
ORIENT,,,,,,,,,,,,,,,,
ETech 12,Orient 12X E-Tech Ultron Air Conditioner 1.0 Ton – T3 – WIFI-By Electronics World," 120,000 "," 126,000 "," 135,484 "," 135,500 ",image issue,134820," 5,383 ",,,,,,,,
ETech 18,Orient 18X ETech Ultron Air Conditioner 1.5 Ton – T3 – WIFI-By Electronics World," 159,000 "," 165,000 "," 177,419 "," 177,500 ",image issue,177500," 6,075 ",,,,,,,,
MAX 18,Orient 18G Max Air Conditioner 1.5 Ton – T3-By Electronics World," 137,000 "," 143,000 "," 153,763 "," 154,000 ",image issue,154000," 6,220 ",,,,,,,,
ORIENT FLOOR,,,,,,,,,,,,,,,,
24 AK FLOOR INV T3,Orient 24 AK Floor INV T3 Floor Standing Air Conditioner/By Electronics World," 278,000 "," 294,000 "," 316,129 "," 316,000 ",OK,316000," 15,880 ",,,,,,,,
12G Frost Everest,Orient 12G Everest / Frost Cooltron 1.0 TON Cool Only DC INVERTER /By Electronics World," 99,000 "," 115,000 "," 123,656 "," 123,500 ",OK,112726," 5,835 ",,,,,,,,
18G Frost Everest,Orient 18G Everest / Frost Cooltron 1.5 TON Cool Only DC INVERTER /By Electronics World," 124,000 "," 140,000 "," 150,538 "," 150,500 ",NEW-NOT UPLOADED,0," (124,000)",,,,,,,,
HOMAGE,,,,,,,,,,,,,,,,
HES-1212 Esmart,Homage 1 ton Smart Crystel HSC-1212S Split AC upto 75% Saving-By Electronics World," 121,000 "," 127,000 "," 136,559 "," 136,500 ",image issue,136500," 5,945 ",,,,,,,,
HES-1213 Grande T3,Homage HES-1213 Grande T3 Non-Inverter Air Conditioner 1.0 Ton-By Electronics World," 112,000 "," 118,000 "," 126,882 "," 127,000 ",image issue,126832," 5,954 ",,,,,,,,
HES-1813 Grande T3,Homage HES-1813 Grande T3 Non-Inverter Air Conditioner 1.5 Ton-By Electronics World," 154,000 "," 160,000 "," 172,043 "," 172,000 ",image issue,172000," 5,960 ",,,,,,,,
Homage HCS-1221S Classic 1.0 Ton Inverter Air Conditioner-By Electronics World,Homage HCS-1221S Classic 1.0 Ton Inverter Air Conditioner-BE-On Installments," 101,000 "," 107,000 "," 115,054 "," 115,000 ",OK,115000," 5,950 ",,,,,,,,
Homage HCS-1821S Classic  Split AC 1.5 Ton (Heat & Cool)-By Electronics World,Homage HCS-1821S Classic  Split AC 1.5 Ton (Heat & Cool)-BE-On Installments," 126,000 "," 132,000 "," 141,935 "," 142,000 ",OK,142000," 6,060 ",,,,,,,,
Homage HES-1222S 1 Ton Heat & Cool Air Conditioner-By Electronics World,Homage HES-1222S 1 Ton Heat & Cool Air Conditioner-BE-On Installments," 113,000 "," 119,000 "," 127,957 "," 128,000 ",OK,127955," 5,998 ",,,,,,,,
Homage HES-1822S 1.5 Ton Heat & Cool Air Conditioner-By Electronics World,Homage HES-1822S 1.5 Ton Heat & Cool Air Conditioner-BE-On Installments," 143,000 "," 149,000 "," 160,215 "," 160,000 ",OK,158950," 4,824 ",,,,,,,,
HES-1812 Esmart,Homage HSC-1812S  1.5 ton Smart Crystel Split AC upto 75%Saving-By Electronics World," 182,000 "," 188,000 "," 202,151 "," 202,000 ",image issue,202000," 5,860 ",,,,,,,,
KENWOOD,,,,,,,,,,,,,,,,
KEA-1861,Kenwood KES-1861S eSmart Platinum 1.5 Ton Full DC Inverter AC -By Electronics World, -   ," 6,000 "," 6,452 ",,image issue,, -   ,KEA-1861," 229,000 ",219199," 197,279 "," 206,100 ",Difficult,,PIC OK
KEA-2462,Kenwood 2462 eSupreme Pro 60% Saving 2 Ton Inverter AC-By Electronics World," 187,000 "," 193,000 "," 207,527 "," 207,500 ",image issue,207092," 5,596 ",KEA-2462," 215,500 ",215500," 6,950 "," 6,950 ",,,
KES-1267,Kenwood KEC-1267 eComfort Pro 1 Ton Inverter AC," 126,000 "," 132,000 "," 141,935 "," 142,000 ",OK," 140,999 "," 5,129 ",KES-1267," 156,500 ",149900," 8,910 "," 14,850 ",Difficult,,
KEL-1867,Kenwood KEC-1867 e-Comfort Pro 1.5 Ton Inverter AC-By World," 158,000 "," 164,000 "," 176,344 "," 176,500 ",OK," 174,999 "," 4,749 ",KEL-1867," 186,500 ",183499," 7,149 "," 9,850 ",Difficult,,
KES 1270,Kenwood KEL-1270S 1.5 Ton Heat & Cool eLuxury Pro Air Conditioner," 127,000 "," 133,000 "," 143,011 "," 143,000 ",OK,148500," 11,105 ",KES 1270," 162,000 ",162000," 18,800 "," 18,800 ",,,PIC OK
KES 1870,Kenwood KEL-1870S 1.5 Ton Heat & Cool eLuxury Pro Air Conditioner," 161,000 "," 167,000 "," 179,570 "," 179,500 ",OK,177999," 4,539 ",KES 1870," 195,500 ",195199," 14,679 "," 14,950 ",195150,OK,
KEL-2470,Kenwood KEL-2470S 1.5 Ton Heat & Cool eLuxury Pro Air Conditioner," 222,000 "," 228,000 "," 245,161 "," 245,000 ",OK,244666," 5,539 ",KEL-2470," 253,500 ",253500," 6,150 "," 6,150 ",,,
KES 1271,Kenwood KES-1271S E-Luxury Plus 1 Ton Dc Inverter Split AC, -   ," 6,000 "," 6,452 ",,OK,,,KES 1271," 168,000 ",157399," 141,659 "," 151,200 ",Difficult,,
KES 1871,Kenwood KES-1871S E-Luxury Plus 1.5 Ton Dc Inverter Split AC," 161,000 "," 167,000 "," 179,570 "," 179,500 ",ok,184000," 10,120 ",KES 1871," 195,500 ",195500," 14,950 "," 14,950 ",,,
KEN 1873,Kenwood KEN 1873S 1.5 Ton E Serene Inverter," 129,000 "," 135,000 "," 145,161 "," 145,000 ",ok,145000," 5,850 ",KEN 1873," 153,500 ",153500," 9,150 "," 9,150 ",,,
KEN 2473,Kenwood KEN 2473S 2 Ton E Serene Inverter," 196,000 "," 202,000 "," 217,204 "," 217,000 ",ok,217000," 5,810 ",KEN 2473," 225,500 ",225500," 6,950 "," 6,950 ",,,
KEN 1274,," 111,000 "," 117,000 "," 125,806 "," 126,000 ",,," (111,000)",KEN 1274, -   ,," (111,000)"," (111,000)",,,
KEN 1874,Kenwood KEN-1874S E-Nexus 1.5 Ton Inverter Split AC," 129,000 "," 135,000 "," 145,161 "," 145,000 ",NEW-NOT UPLOADED,," (129,000)",KEN 1874," 154,500 ",161280," 16,152 "," 10,050 ",,UPLOADING ,
KEN 2474,Kenwood KEN-2474S E-Nexus 2 Ton Inverter Split AC," 196,000 "," 202,000 "," 217,204 "," 217,000 ",NEW-NOT UPLOADED,," (196,000)",KEN 2474," 225,500 ",234990," 15,491 "," 6,950 ",,UPLOADING ,
KEN 1275,," 111,000 "," 117,000 "," 125,806 "," 126,000 ",,," (111,000)",KEN 1275, -   ,," (111,000)"," (111,000)",,,
KEO 1875,Kenwood KEO-1875S 1.5 Ton Heat & Cool eOasis Air Conditioner," 129,000 "," 135,000 "," 145,161 "," 145,000 ",ok,145600," 6,408 ",KEO 1875," 154,500 ",154500," 10,050 "," 10,050 ",,,
KEO 2475,Kenwood KEO-2475S 2 Ton Heat & Cool eOasis Air Conditioner," 196,000 "," 202,000 "," 217,204 "," 217,000 ",OK,217000," 5,810 ",KEO 2475," 225,500 ",225500," 6,950 "," 6,950 ",,,
KEN 1276 E-Nova,Kenwood 1 Ton eNova Pro Air Conditioner KEN-1276S," 95,000 "," 101,000 "," 108,602 "," 108,500 ",OK,109500," 6,835 ",KEN 1276 E-Nova," 113,500 ",113399," 7,059 "," 7,150 ",113350,OK,
KEN 1876 E-Nova,Kenwood 1.5 Ton eNova Pro Air Conditioner KEN-1876S," 118,000 "," 124,000 "," 133,333 "," 133,500 ",OK,131150," 3,970 ",KEN 1876 E-Nova," 136,500 ",136399," 4,759 "," 4,850 ",136350,OK,
KEN 2476 E-Nova,Kenwood 2 Ton eNova Pro Air Conditioner KEN-2476S," 169,000 "," 175,000 "," 188,172 "," 188,000 ",OK,190000," 7,700 ",KEN 2476 E-Nova," 198,000 ",198000," 9,200 "," 9,200 ",,,
KENWOOD DC INVERTER AC eSMART ONYX KES-1266S 1TON-By Electronics World,KENWOOD DC INVERTER AC eSMART ONYX KES-1266S 1TON-BE-On Installments," 138,000 "," 144,000 "," 154,839 "," 155,000 ",OK,168000," 18,240 ",KES-1266S," 176,500 ",176299," 20,669 "," 20,850 ",176250,OK,
Kenwood 1866 eSmart Onyx 1.5 Ton Full 5DC Inverter AC-By Electronics World,Kenwood 1866 eSmart Onyx 1.5 Ton Full 5DC Inverter AC-BE-On Installments," 202,000 "," 208,000 "," 223,656 "," 223,500 ",OK,237500," 18,875 ",1866," 245,500 ",245500," 18,950 "," 18,950 ",,,
KEA-2441 FLOOR,Kenwood KEI-2441F Imperial Plus Cool AC Floor Standing-By Electronics World," 225,000 "," 241,000 "," 259,140 "," 259,000 ",image issue,270000," 26,100 ",KEA-2441 FLOOR," 275,500 ",275500," 22,950 "," 22,950 ",,,
KEI-2443 FLOOR,Kenwood KEI-2443FHI Floor Standing Heat & Cool 2Ton Inverter, -   ," 16,000 "," 17,204 ",,OK,332000," 308,760 ",KEI-2443 FLOOR," 332,000 ",332000," 298,800 "," 298,800 ",,,
KEI-2444 FLOOR (ROUND),Kenwood KEI-2444 2.0 Ton FHI Inverter Floor Standing-By Electronics World," 330,000 "," 346,000 "," 372,043 "," 372,000 ",image issue,372000," 15,960 ",KEI-2444 FLOOR (ROUND)," 384,500 ",381599," 13,439 "," 16,050 ",381550,OK,PIC OK
KEI-2446 FLOOR,Kenwood KEB-2446 FHI e-Breeze Floor Stranding Air Conditioner (2024)-By Electronics World," 260,000 "," 276,000 "," 296,774 "," 296,500 ",image issue,299000," 18,070 ",KEI-2446 FLOOR," 340,000 ",333399," 40,059 "," 46,000 ",333380,OK,PIC OK
KEI-2447 FLOOR (ROUND),Kenwood KES-2447FHI eSignature Floor Standing AC," 330,000 "," 346,000 "," 372,043 "," 372,000 ",image issue,372000," 15,960 ",KEI-2447 FLOOR (ROUND)," 384,500 ",384500," 16,050 "," 16,050 ",,,PIC OK
KEA-4841 FLOOR,Kenwood KEI-4841FH Imperial 4 Ton Floor Standing AC-By Electronics World," 380,000 "," 396,000 "," 425,806 "," 425,000 ",image issue,454000," 42,220 ",KEA-4841 FLOOR," 473,500 ",473500," 46,150 "," 46,150 ",,,PIC OK
KEA-4846 E-BREEZE,Kenwood KEB-4846FHI e-Breeze Inverter 4 Ton Floor Stranding AC-By Electronics World," 515,000 "," 531,000 "," 570,968 "," 571,000 ",image issue,560000," 5,800 ",KEA-4846 E-BREEZE," 590,000 ",590000," 16,000 "," 16,000 ",,,PIC OK
TCL,,,,,,,,,,,,,,,,
 18 HEF ,TCL 18HEF Extreme Series 1.5 ton INV Air Conditioner-By Electronics World, -   ," 6,000 "," 6,452 ",,image issue,,,,,,,,,,
12e Cool,TCL 12E COOL 1 ton DC Inverter Air Conditioner-By Electronics World," 91,000 "," 97,000 "," 104,301 "," 104,000 ",image issue,102000," 3,860 ",,,,,,,,
18e Cool,TCL 18E-COOL 1.5 ton Inverter Air Conditioner-By Electronics World," 118,000 "," 124,000 "," 133,333 "," 133,500 ",image issue,129990," 2,891 ",,,,,,,,
24e Cool,TCL 24E-COOL 2 ton Inverter Air Conditioner-By Electronics World," 160,000 "," 166,000 "," 178,495 "," 178,500 ",," 177,000 "," 4,610 ",,,,,,,,
18 T3B,TCL 18T3B-2 (1.5 Ton) Miracle Series Inverter Split Ac 2024-By Electronics World," 160,000 "," 166,000 "," 178,495 "," 178,500 ",NO,,,,,,,,,,
12 T3 PRO,TCL 12T3-Pro (1.0 Ton) DC Inverter With Wi-Fi-By Electronics World," 119,000 "," 125,000 "," 134,409 "," 134,500 ",NO,,,,,,,,,,
18 T3 PRO,TCL TAC-18T3 Pro 1.5 Ton DC Inverter AC-By Electronics World," 164,000 "," 170,000 "," 182,796 "," 183,000 ",OK,182000," 5,260 ",,,,,,,,
24 T3 PRO,TCL 24T3 PRO 2.0 Ton Wi-fi Enabled Inverter Split AC-By Electronics World," 183,000 "," 189,000 "," 203,226 "," 203,000 ",OK,203000," 5,790 ",,,,,,,,
TAC 18 T5,TCL TAC-18T5-Smart 1.5 Ton DC Inverter AC," 176,000 "," 182,000 "," 195,699 "," 195,500 ",OK,193750," 4,188 ",,,,,,,,
TAC 24 T5 Smart,TCL 24T5-SMART-S 2 Ton Inverter Air Conditioner-By Electronics World," 197,000 "," 203,000 "," 218,280 "," 218,000 ",image issue,218000," 5,740 ",,,,,,,,
24 HEA,TCL Elite TAC-24HEA 2.0 Ton-By Electronics World," 172,000 "," 178,000 "," 191,398 "," 191,500 ",NEW-NOT UPLOADED,,,,,,,,,,
TCL FLOOR,,,,,,,,,,,,,,,,
2 Ton Floor Inv 24 T3,TCL TAC-24T3-FH Floor Standing T3 DC Inverter-By Electronics World," 265,000 "," 281,000 "," 302,151 "," 302,000 ",NEW-NOT UPLOADED,,,,,,,,,,
HAIER FLOOR,,,,,,,,,,,,,,,,
